Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,11.029,136.305,0.555,147.888,11.584
2,Task 1: sum1,0.84,136.283,0.486,137.608,1.326
3,Task 1: sum1,0.529,136.251,0.456,137.236,0.985
4,Task 1: sum1,0.566,136.303,0.472,137.341,1.038
5,Task 1: sum1,0.615,136.391,0.453,137.46,1.069
6,Task 1: sum1,0.722,136.316,0.522,137.56,1.244
7,Task 1: sum1,0.713,136.539,0.48,137.732,1.193
8,Task 1: sum1,0.654,136.455,0.483,137.592,1.137
9,Task 1: sum1,0.588,136.491,0.459,137.537,1.047
10,Task 1: sum1,0.556,136.508,0.436,137.499,0.991
11,Task 1: sum1,0.692,136.312,0.364,137.368,1.056
12,Task 1: sum1,0.55,136.338,0.389,137.278,0.939
13,Task 1: sum1,0.708,136.238,0.448,137.394,1.156
14,Task 1: sum1,0.569,136.26,0.401,137.23,0.971
15,Task 1: sum1,0.721,136.281,0.433,137.435,1.154
16,Task 1: sum1,0.588,136.328,0.407,137.324,0.995
17,Task 1: sum1,0.68,136.344,0.472,137.497,1.153
18,Task 1: sum1,0.572,136.377,0.38,137.329,0.952
19,Task 1: sum1,0.539,136.357,0.372,137.268,0.911
20,Task 1: sum1,0.641,136.423,0.461,137.526,1.103
21,Task 1: sum1,0.538,136.47,0.376,137.385,0.915
22,Task 1: sum1,0.553,136.376,0.416,137.345,0.969
23,Task 1: sum1,0.542,136.525,0.409,137.476,0.951
24,Task 1: sum1,0.514,136.447,0.369,137.33,0.884
25,Task 1: sum1,0.6,136.537,0.423,137.56,1.023
26,Task 1: sum1,0.526,136.506,0.377,137.409,0.903
27,Task 1: sum1,0.544,136.545,0.464,137.553,1.008
28,Task 1: sum1,0.65,136.608,0.463,137.721,1.112
29,Task 1: sum1,0.588,136.52,0.426,137.533,1.014
30,Task 1: sum1,0.507,136.493,0.367,137.367,0.874
31,Task 1: sum1,0.532,136.42,0.423,137.375,0.955
32,Task 1: sum1,0.586,136.483,0.42,137.489,1.006
33,Task 1: sum1,0.493,136.468,0.446,137.407,0.939
34,Task 1: sum1,0.645,136.519,0.434,137.597,1.079
35,Task 1: sum1,0.562,136.419,0.422,137.403,0.984
36,Task 1: sum1,0.526,136.31,0.388,137.224,0.913
37,Task 1: sum1,0.6,136.21,0.402,137.211,1.002
38,Task 1: sum1,0.555,136.236,0.444,137.235,0.999
39,Task 1: sum1,0.546,136.283,0.411,137.239,0.956
40,Task 1: sum1,0.576,136.283,0.598,137.456,1.174
41,Task 1: sum1,0.713,136.18,0.386,137.279,1.099
42,Task 1: sum1,0.533,136.267,0.409,137.209,0.942
43,Task 1: sum1,0.568,136.679,0.456,137.703,1.024
44,Task 1: sum1,0.559,136.616,0.444,137.618,1.002
45,Task 1: sum1,0.541,136.614,0.446,137.601,0.987
46,Task 1: sum1,0.531,136.551,0.458,137.541,0.989
47,Task 1: sum1,0.589,136.146,0.449,137.184,1.038
48,Task 1: sum1,0.538,136.033,0.421,136.991,0.958
49,Task 1: sum1,0.543,136.163,0.412,137.118,0.955
50,Task 1: sum1,0.561,136.267,0.463,137.291,1.024

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.590,136.387,0.433,137.409,1.022
