Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.396,544.321,0.561,555.278,10.957
2,Task 1: sum1,0.641,544.383,0.493,545.517,1.134
3,Task 1: sum1,0.548,544.261,0.462,545.271,1.01
4,Task 1: sum1,0.554,544.245,0.428,545.226,0.981
5,Task 1: sum1,0.52,544.242,0.455,545.218,0.975
6,Task 1: sum1,0.56,544.334,0.415,545.309,0.975
7,Task 1: sum1,0.576,544.176,0.461,545.213,1.037
8,Task 1: sum1,0.535,544.306,0.444,545.285,0.979
9,Task 1: sum1,0.552,544.177,0.433,545.161,0.985
10,Task 1: sum1,0.553,544.344,0.453,545.35,1.006
11,Task 1: sum1,0.532,544.327,0.398,545.257,0.93
12,Task 1: sum1,0.542,544.282,0.467,545.29,1.008
13,Task 1: sum1,0.537,544.384,0.482,545.404,1.02
14,Task 1: sum1,0.563,544.511,0.449,545.523,1.011
15,Task 1: sum1,0.536,544.362,0.379,545.277,0.915
16,Task 1: sum1,0.68,544.501,0.467,545.649,1.147
17,Task 1: sum1,0.628,544.508,0.449,545.585,1.077
18,Task 1: sum1,0.554,544.485,0.469,545.508,1.024
19,Task 1: sum1,0.537,544.414,0.435,545.385,0.971
20,Task 1: sum1,0.608,544.511,0.443,545.562,1.051
21,Task 1: sum1,0.528,544.461,0.461,545.45,0.989
22,Task 1: sum1,0.545,544.409,0.484,545.437,1.028
23,Task 1: sum1,0.688,543.984,0.469,545.141,1.157
24,Task 1: sum1,0.55,543.654,0.445,544.65,0.995
25,Task 1: sum1,0.583,543.628,0.448,544.659,1.031
26,Task 1: sum1,0.605,545.348,0.484,546.436,1.088
27,Task 1: sum1,0.515,543.941,0.426,544.882,0.941
28,Task 1: sum1,0.507,543.99,0.43,544.927,0.937
29,Task 1: sum1,0.545,543.961,0.455,544.96,0.999
30,Task 1: sum1,0.667,544.161,0.463,545.291,1.13
31,Task 1: sum1,0.492,544.22,0.449,545.162,0.941
32,Task 1: sum1,0.56,544.138,0.467,545.165,1.027
33,Task 1: sum1,0.52,544.331,0.474,545.325,0.994
34,Task 1: sum1,0.582,544.082,0.516,545.181,1.099
35,Task 1: sum1,0.543,544.365,0.431,545.338,0.974
36,Task 1: sum1,0.528,544.215,0.478,545.222,1.006
37,Task 1: sum1,0.558,544.453,0.465,545.477,1.023
38,Task 1: sum1,0.61,544.442,0.458,545.509,1.068
39,Task 1: sum1,0.544,544.339,0.468,545.352,1.013
40,Task 1: sum1,0.516,544.386,0.442,545.344,0.958
41,Task 1: sum1,0.543,544.369,0.406,545.319,0.95
42,Task 1: sum1,0.548,544.504,0.473,545.525,1.021
43,Task 1: sum1,0.804,544.308,0.389,545.501,1.193
44,Task 1: sum1,0.534,544.492,0.442,545.468,0.976
45,Task 1: sum1,0.541,544.415,0.396,545.352,0.937
46,Task 1: sum1,0.546,544.479,0.465,545.491,1.012
47,Task 1: sum1,0.56,544.508,0.496,545.564,1.056
48,Task 1: sum1,0.524,544.494,0.451,545.469,0.975
49,Task 1: sum1,0.678,544.577,0.431,545.686,1.109
50,Task 1: sum1,0.585,544.498,0.426,545.509,1.011

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.567,544.325,0.450,545.342,1.018
