Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,28.387,2288.792,0.869,2318.047,29.255
1,Task 2: sum2,24.526,2288.923,2.928,2316.377,27.454
1,Task 3: sum3,38.359,2290.121,0.766,2329.246,39.125
1,Task 4: sum4,2327.241,2290.412,0.836,4618.489,2328.077
2,Task 1: sum1,1.201,2289.487,0.88,2291.568,2.08
2,Task 2: sum2,1.223,2289.744,0.916,2291.882,2.138
2,Task 3: sum3,0.952,2289.961,0.644,2291.557,1.597
2,Task 4: sum4,2290.43,2297.723,0.707,4588.86,2291.137
3,Task 1: sum1,0.929,2289.404,0.835,2291.168,1.763
3,Task 2: sum2,1.805,2289.804,0.923,2292.531,2.727
3,Task 3: sum3,0.944,2289.472,0.888,2291.304,1.832
3,Task 4: sum4,2290.011,2290.765,0.883,4581.66,2290.894
4,Task 1: sum1,0.929,2289.119,0.845,2290.894,1.774
4,Task 2: sum2,1.094,2289.096,1.026,2291.216,2.12
4,Task 3: sum3,1.019,2290.238,0.688,2291.945,1.707
4,Task 4: sum4,2290.737,2290.503,0.943,4582.183,2291.68
5,Task 1: sum1,0.896,2289.674,1.009,2291.579,1.905
5,Task 2: sum2,0.91,2289.463,1.097,2291.47,2.007
5,Task 3: sum3,0.938,2290.467,1.018,2292.423,1.957
5,Task 4: sum4,2292.294,2289.854,0.927,4583.075,2293.221

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.989,2289.421,0.892,2291.302,1.881
AVERAGE,Task 2: sum2,1.258,2289.527,0.991,2291.775,2.248
AVERAGE,Task 3: sum3,0.963,2290.034,0.809,2291.807,1.773
AVERAGE,Task 4: sum4,2290.868,2292.211,0.865,4583.944,2291.733
