Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.193,2285.669,0.742,2312.604,26.935
1,Task 2: sum2,1311.947,2285.862,0.699,3598.508,1312.646
1,Task 3: sum3,21.89,2286.096,0.706,2308.692,22.596
1,Task 4: sum4,1307.995,2286.327,0.704,3595.026,1308.699
2,Task 1: sum1,0.968,2286.213,0.993,2288.173,1.961
2,Task 2: sum2,1287.248,2286.369,0.604,3574.222,1287.852
2,Task 3: sum3,1.026,2286.22,0.679,2287.924,1.705
2,Task 4: sum4,1287.308,2286.406,0.528,3574.242,1287.836
3,Task 1: sum1,0.972,2286.601,0.813,2288.386,1.785
3,Task 2: sum2,1287.631,2286.882,0.645,3575.158,1288.276
3,Task 3: sum3,0.874,2286.262,0.583,2287.719,1.456
3,Task 4: sum4,1287.233,2286.402,0.625,3574.261,1287.858
4,Task 1: sum1,0.929,2286.408,0.698,2288.034,1.626
4,Task 2: sum2,1287.478,2286.492,0.653,3574.623,1288.131
4,Task 3: sum3,1.036,2286.258,0.548,2287.842,1.584
4,Task 4: sum4,1287.417,2286.773,0.547,3574.737,1287.964
5,Task 1: sum1,0.898,2286.575,0.552,2288.025,1.45
5,Task 2: sum2,1287.56,2287.213,1.041,3575.814,1288.601
5,Task 3: sum3,0.938,2286.96,0.861,2288.759,1.799
5,Task 4: sum4,1287.967,2287.435,0.574,3575.976,1288.541

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.942,2286.449,0.764,2288.155,1.706
AVERAGE,Task 2: sum2,1287.479,2286.739,0.736,3574.954,1288.215
AVERAGE,Task 3: sum3,0.969,2286.425,0.668,2288.061,1.636
AVERAGE,Task 4: sum4,1287.481,2286.754,0.569,3574.804,1288.050
