Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,8.22,2179.857,0.624,2188.7,8.843
1,Task 2: sum2,7.997,2189.967,0.553,2198.517,8.549
1,Task 3: sum3,7.615,2188.771,0.507,2196.893,8.122
1,Task 4: sum4,7.48,2186.718,0.533,2194.731,8.013
2,Task 1: sum1,1.086,2177.064,0.519,2178.669,1.605
2,Task 2: sum2,0.562,2187.428,0.488,2188.478,1.05
2,Task 3: sum3,0.573,2188.253,0.428,2189.254,1.001
2,Task 4: sum4,0.578,2188.422,0.405,2189.405,0.983
3,Task 1: sum1,0.871,2178.991,0.509,2180.371,1.38
3,Task 2: sum2,1.205,2187.824,0.501,2189.53,1.706
3,Task 3: sum3,1.011,2191.683,0.452,2193.146,1.463
3,Task 4: sum4,0.757,2189.967,0.452,2191.176,1.209
4,Task 1: sum1,0.848,2179.613,0.538,2180.999,1.386
4,Task 2: sum2,0.71,2189.77,0.482,2190.962,1.192
4,Task 3: sum3,0.679,2190.85,0.478,2192.007,1.158
4,Task 4: sum4,0.615,2190.126,0.584,2191.324,1.198
5,Task 1: sum1,0.904,2178.092,0.503,2179.499,1.407
5,Task 2: sum2,0.903,2186.647,0.443,2187.993,1.346
5,Task 3: sum3,0.779,2188.854,0.479,2190.112,1.258
5,Task 4: sum4,0.702,2189.388,0.402,2190.491,1.103

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.927,2178.440,0.517,2179.885,1.444
AVERAGE,Task 2: sum2,0.845,2187.917,0.478,2189.241,1.324
AVERAGE,Task 3: sum3,0.760,2189.910,0.459,2191.130,1.220
AVERAGE,Task 4: sum4,0.663,2189.476,0.461,2190.599,1.123
