Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,28.41,2287.733,0.858,2317.001,29.268
1,Task 3: sum3,27.606,2287.471,0.737,2315.814,28.343
1,Task 4: sum4,2312.388,2287.949,1.067,4601.405,2313.455
1,Task 2: sum2,24.562,6864.06,0.761,6889.383,25.323
2,Task 1: sum1,17.087,2287.73,0.602,2305.419,17.689
2,Task 3: sum3,0.832,2287.301,0.651,2288.784,1.483
2,Task 4: sum4,1.001,4575.275,0.693,4576.969,1.694
2,Task 2: sum2,1.056,6862.893,0.649,6864.598,1.705
3,Task 1: sum1,0.952,2287.5,1.077,2289.529,2.029
3,Task 3: sum3,1.027,2287.64,0.915,2289.582,1.942
3,Task 4: sum4,2288.073,2287.983,0.652,4576.707,2288.724
3,Task 2: sum2,0.942,6863.365,0.685,6864.993,1.627
4,Task 1: sum1,0.848,2287.655,0.629,2289.132,1.477
4,Task 3: sum3,0.923,2287.797,0.724,2289.444,1.647
4,Task 4: sum4,2288.188,2287.796,0.687,4576.671,2288.875
4,Task 2: sum2,0.948,6863.573,0.769,6865.29,1.717
5,Task 1: sum1,1.202,2287.69,0.75,2289.642,1.952
5,Task 3: sum3,0.958,2287.739,0.683,2289.38,1.641
5,Task 4: sum4,2288.092,2287.929,0.682,4576.703,2288.774
5,Task 2: sum2,1.425,6863.87,0.627,6865.922,2.052

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,5.022,2287.644,0.764,2293.430,5.787
AVERAGE,Task 3: sum3,0.935,2287.619,0.743,2289.298,1.678
AVERAGE,Task 4: sum4,1716.339,2859.746,0.678,4576.763,1717.017
AVERAGE,Task 2: sum2,1.093,6863.425,0.682,6865.201,1.775
