Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,29.191,2284.939,0.776,2314.907,29.968
1,Task 2: sum2,24.523,2284.479,3.519,2312.522,28.042
1,Task 3: sum3,33.613,2285.211,0.71,2319.534,34.323
1,Task 4: sum4,31.077,4578.963,1.137,4611.178,32.215
2,Task 1: sum1,1.287,2285.829,0.713,2287.829,2.0
2,Task 3: sum3,6.29,2286.384,0.932,2293.605,7.221
2,Task 4: sum4,2290.251,2286.087,0.993,4577.331,2291.244
3,Task 1: sum1,3.369,2285.59,0.725,2289.684,4.094
3,Task 2: sum2,4.315,2285.659,1.011,2290.984,5.325
3,Task 3: sum3,3.645,2286.953,0.669,2291.267,4.314
3,Task 4: sum4,1.996,4574.093,1.045,4577.134,3.041
4,Task 1: sum1,3.088,2286.412,0.837,2290.338,3.926
4,Task 2: sum2,3.167,2286.322,1.431,2290.921,4.598
4,Task 3: sum3,4.863,2286.5,0.706,2292.068,5.568
4,Task 4: sum4,2290.188,2287.568,0.895,4578.651,2291.083
5,Task 1: sum1,3.79,2285.97,1.02,2290.781,4.81
5,Task 3: sum3,6.885,2286.337,0.649,2293.871,7.535
5,Task 4: sum4,3.193,4573.963,0.966,4578.121,4.159

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,2.884,2285.950,0.824,2289.658,3.708
AVERAGE,Task 2: sum2,3.741,2285.990,1.221,2290.952,4.962
AVERAGE,Task 3: sum3,5.421,2286.543,0.739,2292.703,6.159
AVERAGE,Task 4: sum4,1146.407,3430.428,0.975,4577.809,1147.382
