Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.167,2289.128,0.738,2316.034,26.905
1,Task 2: sum2,21.953,6884.919,0.805,6907.677,22.758
1,Task 3: sum3,1329.276,4580.315,0.664,5910.256,1329.941
1,Task 4: sum4,3615.137,2291.865,1.342,5908.344,3616.479
2,Task 1: sum1,1.303,2312.228,0.667,2314.198,1.97
2,Task 2: sum2,1.009,2289.046,0.604,2290.66,1.614
2,Task 3: sum3,1290.111,2289.322,0.51,3579.943,1290.622
2,Task 4: sum4,3578.88,2289.208,0.804,5868.892,3579.684
3,Task 1: sum1,0.942,2288.902,0.483,2290.328,1.425
3,Task 2: sum2,0.94,2289.157,0.478,2290.575,1.418
3,Task 3: sum3,1290.17,2289.105,0.521,3579.797,1290.692
3,Task 4: sum4,3578.785,2289.175,0.489,5868.449,3579.274
4,Task 1: sum1,0.875,2289.067,0.649,2290.591,1.524
4,Task 2: sum2,0.959,2289.243,0.708,2290.91,1.667
4,Task 3: sum3,1290.316,2289.451,0.608,3580.374,1290.923
4,Task 4: sum4,3579.204,2289.319,0.619,5869.143,3579.823
5,Task 1: sum1,0.953,2289.095,0.708,2290.756,1.661
5,Task 2: sum2,0.914,2288.945,0.807,2290.667,1.721
5,Task 3: sum3,1289.924,2288.999,0.671,3579.593,1290.595
5,Task 4: sum4,3578.366,2289.167,0.655,5868.188,3579.021

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.018,2294.823,0.627,2296.468,1.645
AVERAGE,Task 2: sum2,0.956,2289.098,0.649,2290.703,1.605
AVERAGE,Task 3: sum3,1290.130,2289.219,0.578,3579.927,1290.708
AVERAGE,Task 4: sum4,3578.809,2289.217,0.642,5868.668,3579.450
