Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,28.92,1144.408,0.848,1174.175,29.767
2,Task 1: sum1,1.131,1144.339,0.661,1146.13,1.792
3,Task 1: sum1,0.878,1144.463,0.696,1146.036,1.574
4,Task 1: sum1,0.827,1144.254,0.698,1145.779,1.525
5,Task 1: sum1,1.054,1144.258,0.765,1146.077,1.819
6,Task 1: sum1,0.888,1144.419,0.715,1146.021,1.602
7,Task 1: sum1,1.108,1144.201,0.935,1146.245,2.044
8,Task 1: sum1,1.215,1144.273,0.665,1146.153,1.88
9,Task 1: sum1,0.929,1144.269,0.626,1145.824,1.556
10,Task 1: sum1,0.865,1144.402,0.707,1145.973,1.571
11,Task 1: sum1,0.94,1144.392,0.683,1146.015,1.623
12,Task 1: sum1,0.799,1144.318,0.466,1145.584,1.265
13,Task 1: sum1,0.923,1144.575,0.678,1146.175,1.6
14,Task 1: sum1,0.838,1144.677,0.894,1146.409,1.732
15,Task 1: sum1,0.902,1144.531,0.561,1145.994,1.463
16,Task 1: sum1,0.859,1144.508,0.678,1146.045,1.537
17,Task 1: sum1,1.081,1144.565,0.648,1146.293,1.728
18,Task 1: sum1,0.825,1144.344,0.986,1146.154,1.81
19,Task 1: sum1,0.888,1144.552,0.682,1146.122,1.57
20,Task 1: sum1,0.841,1144.496,0.694,1146.031,1.535
21,Task 1: sum1,0.785,1144.746,0.671,1146.201,1.455
22,Task 1: sum1,0.97,1144.626,0.667,1146.263,1.638
23,Task 1: sum1,0.843,1144.674,0.654,1146.171,1.497
24,Task 1: sum1,1.076,1144.664,0.692,1146.432,1.768
25,Task 1: sum1,0.847,1144.731,0.601,1146.178,1.448
26,Task 1: sum1,0.868,1144.591,0.617,1146.075,1.484
27,Task 1: sum1,1.106,1144.802,0.648,1146.556,1.754
28,Task 1: sum1,0.836,1144.809,0.696,1146.341,1.532
29,Task 1: sum1,0.834,1144.837,0.697,1146.368,1.531
30,Task 1: sum1,1.182,1144.839,0.682,1146.704,1.865
31,Task 1: sum1,0.858,1144.75,0.645,1146.253,1.503
32,Task 1: sum1,0.848,1144.753,0.645,1146.245,1.493
33,Task 1: sum1,0.888,1144.485,0.715,1146.088,1.603
34,Task 1: sum1,0.848,1143.732,0.682,1145.262,1.531
35,Task 1: sum1,1.077,1143.033,0.713,1144.823,1.79
36,Task 1: sum1,0.848,1143.253,0.645,1144.746,1.493
37,Task 1: sum1,1.025,1143.291,0.576,1144.893,1.602
38,Task 1: sum1,0.925,1143.131,0.644,1144.7,1.569
39,Task 1: sum1,0.889,1143.413,0.696,1144.998,1.585
40,Task 1: sum1,0.857,1143.564,0.624,1145.046,1.482
41,Task 1: sum1,0.806,1143.444,0.655,1144.905,1.461
42,Task 1: sum1,0.847,1143.624,0.529,1145.0,1.376
43,Task 1: sum1,0.859,1143.657,0.692,1145.207,1.55
44,Task 1: sum1,0.823,1143.773,0.69,1145.286,1.513
45,Task 1: sum1,0.777,1143.712,0.6,1145.089,1.377
46,Task 1: sum1,0.869,1143.779,0.669,1145.317,1.538
47,Task 1: sum1,0.907,1143.739,0.592,1145.239,1.5
48,Task 1: sum1,0.814,1144.062,0.636,1145.513,1.45
49,Task 1: sum1,0.77,1143.904,0.642,1145.316,1.412
50,Task 1: sum1,0.906,1143.884,0.604,1145.394,1.51

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.910,1144.207,0.673,1145.789,1.582
