Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,27.391,2287.768,3.57,2318.729,30.961
1,Task 2: sum2,25.354,2289.087,0.748,2315.189,26.102
1,Task 3: sum3,24.848,2288.164,3.63,2316.642,28.478
1,Task 4: sum4,27.632,2289.256,0.745,2317.633,28.377
2,Task 1: sum1,1.005,2288.659,1.641,2291.305,2.646
2,Task 2: sum2,1.376,2297.042,0.676,2299.094,2.052
2,Task 3: sum3,0.945,2289.226,1.41,2291.581,2.355
2,Task 4: sum4,1.409,2289.76,0.698,2291.866,2.107
3,Task 1: sum1,1.153,2288.89,1.57,2291.612,2.723
3,Task 2: sum2,1.322,2289.614,0.654,2291.589,1.976
3,Task 3: sum3,0.869,2288.52,1.59,2290.98,2.459
3,Task 4: sum4,1.404,2289.775,0.615,2291.795,2.02
4,Task 1: sum1,0.854,2289.189,1.641,2291.684,2.495
4,Task 2: sum2,1.309,2290.184,0.824,2292.318,2.133
4,Task 3: sum3,0.9,2288.919,1.543,2291.363,2.444
4,Task 4: sum4,1.312,2289.854,0.622,2291.789,1.934
5,Task 1: sum1,0.958,2288.788,1.704,2291.45,2.662
5,Task 2: sum2,1.373,2289.777,0.661,2291.812,2.035
5,Task 3: sum3,0.896,2289.342,1.595,2291.833,2.491
5,Task 4: sum4,1.407,2290.122,0.59,2292.118,1.997

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.992,2288.881,1.639,2291.513,2.631
AVERAGE,Task 2: sum2,1.345,2291.654,0.704,2293.703,2.049
AVERAGE,Task 3: sum3,0.902,2289.002,1.534,2291.439,2.437
AVERAGE,Task 4: sum4,1.383,2289.878,0.631,2291.892,2.014
