Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.844,408.129,0.513,419.487,11.357
2,Task 1: sum1,7.213,408.135,0.487,415.835,7.7
3,Task 1: sum1,0.712,408.129,0.42,409.26,1.131
4,Task 1: sum1,0.553,408.146,0.455,409.155,1.008
5,Task 1: sum1,0.629,408.086,0.423,409.138,1.052
6,Task 1: sum1,0.54,408.188,0.505,409.232,1.044
7,Task 1: sum1,0.576,408.22,0.456,409.252,1.032
8,Task 1: sum1,0.704,408.185,0.472,409.361,1.175
9,Task 1: sum1,0.553,408.204,0.483,409.239,1.035
10,Task 1: sum1,0.702,408.277,0.464,409.443,1.166
11,Task 1: sum1,0.564,408.129,0.421,409.113,0.984
12,Task 1: sum1,0.702,408.28,0.435,409.417,1.136
13,Task 1: sum1,0.582,408.249,0.401,409.231,0.983
14,Task 1: sum1,0.674,408.296,0.452,409.422,1.126
15,Task 1: sum1,0.543,408.311,0.389,409.243,0.932
16,Task 1: sum1,0.585,408.353,0.44,409.378,1.025
17,Task 1: sum1,0.547,408.329,0.482,409.357,1.028
18,Task 1: sum1,0.553,408.49,0.471,409.514,1.023
19,Task 1: sum1,0.77,408.318,0.45,409.538,1.22
20,Task 1: sum1,0.579,408.248,0.48,409.308,1.059
21,Task 1: sum1,0.568,408.467,0.496,409.532,1.064
22,Task 1: sum1,0.722,408.315,0.429,409.467,1.152
23,Task 1: sum1,0.516,408.428,0.5,409.443,1.015
24,Task 1: sum1,0.576,408.351,0.44,409.367,1.015
25,Task 1: sum1,0.59,408.393,0.432,409.415,1.022
26,Task 1: sum1,0.514,408.375,0.416,409.305,0.93
27,Task 1: sum1,0.654,408.254,0.399,409.307,1.054
28,Task 1: sum1,0.573,408.42,0.404,409.397,0.977
29,Task 1: sum1,0.722,408.301,0.519,409.542,1.24
30,Task 1: sum1,0.556,408.39,0.412,409.358,0.968
31,Task 1: sum1,0.535,408.484,0.404,409.423,0.938
32,Task 1: sum1,0.705,408.458,0.442,409.605,1.147
33,Task 1: sum1,0.557,408.349,0.493,409.399,1.05
34,Task 1: sum1,0.596,408.537,0.456,409.588,1.052
35,Task 1: sum1,0.557,408.442,0.439,409.438,0.996
36,Task 1: sum1,0.555,408.364,0.415,409.334,0.97
37,Task 1: sum1,0.532,408.618,0.517,409.667,1.049
38,Task 1: sum1,0.535,408.621,0.463,409.619,0.998
39,Task 1: sum1,0.673,408.542,0.533,409.748,1.206
40,Task 1: sum1,0.702,408.583,0.526,409.812,1.229
41,Task 1: sum1,0.718,408.599,0.47,409.787,1.189
42,Task 1: sum1,0.654,408.47,0.437,409.562,1.091
43,Task 1: sum1,0.555,408.5,0.431,409.486,0.986
44,Task 1: sum1,0.555,408.513,0.454,409.522,1.009
45,Task 1: sum1,0.58,408.573,0.461,409.614,1.041
46,Task 1: sum1,0.667,408.39,0.41,409.467,1.077
47,Task 1: sum1,0.565,408.518,0.454,409.537,1.019
48,Task 1: sum1,0.52,408.555,0.42,409.495,0.94
49,Task 1: sum1,0.544,408.586,0.458,409.588,1.002
50,Task 1: sum1,0.644,408.612,0.476,409.731,1.12

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.739,408.379,0.453,409.571,1.192
