Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.688,2180.156,0.626,2191.47,11.314
1,Task 2: sum2,8.958,2190.361,0.519,2199.838,9.477
1,Task 3: sum3,8.885,2190.894,0.466,2200.244,9.351
1,Task 4: sum4,9.557,2190.548,7.607,2207.712,17.163
2,Task 1: sum1,0.771,2181.555,0.501,2182.827,1.272
2,Task 2: sum2,0.524,2190.307,0.471,2191.302,0.995
2,Task 3: sum3,1.713,2189.594,0.414,2191.72,2.127
2,Task 4: sum4,0.531,2189.014,0.47,2190.016,1.002
3,Task 1: sum1,6.295,2178.46,0.5,2185.255,6.795
3,Task 2: sum2,1.675,2187.891,0.547,2190.112,2.221
3,Task 3: sum3,1.707,2188.083,0.413,2190.203,2.12
3,Task 4: sum4,0.681,2188.749,0.482,2189.912,1.163
4,Task 1: sum1,3.072,2178.315,0.491,2181.879,3.564
4,Task 2: sum2,1.622,2188.095,0.47,2190.187,2.092
4,Task 3: sum3,1.651,2188.068,0.457,2190.176,2.107
4,Task 4: sum4,0.493,2188.337,0.445,2189.275,0.938
5,Task 1: sum1,3.107,2179.185,0.47,2182.761,3.577
5,Task 2: sum2,1.728,2189.649,0.559,2191.936,2.287
5,Task 3: sum3,2.018,2189.188,0.386,2191.591,2.404
5,Task 4: sum4,0.549,2189.225,0.484,2190.258,1.033
6,Task 1: sum1,3.231,2179.267,0.506,2183.003,3.737
6,Task 2: sum2,1.623,2186.421,0.452,2188.496,2.075
6,Task 3: sum3,1.657,2186.825,0.438,2188.919,2.094
6,Task 4: sum4,0.508,2189.873,0.382,2190.764,0.89
7,Task 1: sum1,0.911,2179.88,0.48,2181.27,1.391
7,Task 2: sum2,0.55,2190.286,0.487,2191.323,1.037
7,Task 3: sum3,2.026,2188.057,0.457,2190.541,2.484
7,Task 4: sum4,0.545,2190.059,0.509,2191.112,1.053
8,Task 1: sum1,3.117,2180.373,0.509,2183.999,3.626
8,Task 2: sum2,0.696,2191.53,0.444,2192.67,1.14
8,Task 3: sum3,1.805,2191.152,0.457,2193.413,2.262
8,Task 4: sum4,0.498,2191.127,0.491,2192.116,0.988
9,Task 1: sum1,3.09,2181.361,0.506,2184.957,3.596
9,Task 2: sum2,1.696,2191.17,0.513,2193.379,2.209
9,Task 3: sum3,2.151,2191.703,0.449,2194.303,2.6
9,Task 4: sum4,0.534,2191.632,0.464,2192.63,0.997
10,Task 1: sum1,3.098,2182.162,0.491,2185.751,3.589
10,Task 2: sum2,1.807,2191.059,0.511,2193.377,2.318
10,Task 3: sum3,2.054,2189.976,0.446,2192.476,2.5
10,Task 4: sum4,0.528,2189.183,0.454,2190.166,0.983
11,Task 1: sum1,2.754,2178.436,0.5,2181.691,3.254
11,Task 2: sum2,1.721,2188.026,0.493,2190.24,2.215
11,Task 3: sum3,0.563,2188.985,0.415,2189.964,0.979
11,Task 4: sum4,0.51,2188.877,0.467,2189.854,0.977
12,Task 1: sum1,3.106,2179.037,0.523,2182.666,3.629
12,Task 2: sum2,0.58,2188.722,0.473,2189.775,1.053
12,Task 3: sum3,1.996,2188.257,0.462,2190.714,2.457
12,Task 4: sum4,0.555,2187.595,0.515,2188.666,1.071
13,Task 1: sum1,2.744,2176.626,0.495,2179.865,3.239
13,Task 2: sum2,1.898,2186.376,0.459,2188.734,2.358
13,Task 3: sum3,0.54,2186.459,0.459,2187.458,1.0
13,Task 4: sum4,0.482,2186.778,0.437,2187.697,0.92
14,Task 1: sum1,2.973,2177.129,0.523,2180.626,3.497
14,Task 2: sum2,1.814,2187.233,0.516,2189.563,2.33
14,Task 3: sum3,2.053,2184.704,0.432,2187.189,2.486
14,Task 4: sum4,0.527,2188.245,0.592,2189.364,1.119
15,Task 1: sum1,0.892,2177.74,0.438,2179.07,1.33
15,Task 2: sum2,0.554,2187.965,0.441,2188.959,0.995
15,Task 3: sum3,2.231,2188.18,0.423,2190.834,2.654
15,Task 4: sum4,0.528,2188.117,0.388,2189.032,0.915
