Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.959,2475.877,0.758,2503.594,27.717
1,Task 3: sum3,898.343,5133.859,0.886,6033.088,899.229
1,Task 2: sum2,21.67,7505.489,0.688,7527.847,22.359
1,Task 4: sum4,895.832,5143.208,0.657,6039.698,896.489
2,Task 1: sum1,1.464,2782.092,0.752,2784.308,2.216
2,Task 3: sum3,1.152,5523.969,0.675,5525.797,1.828
2,Task 4: sum4,2389.04,3141.687,0.454,5531.18,2389.494
2,Task 2: sum2,1.031,7490.94,0.463,7492.434,1.494
3,Task 1: sum1,0.966,2470.805,0.666,2472.437,1.632
3,Task 3: sum3,0.96,5994.09,0.753,5995.803,1.713
3,Task 4: sum4,2386.978,3619.623,0.58,6007.181,2387.558
3,Task 2: sum2,0.898,7476.227,0.521,7477.646,1.419
4,Task 1: sum1,0.964,2521.869,0.707,2523.539,1.67
4,Task 3: sum3,388.924,5125.197,0.788,5514.909,389.712
4,Task 2: sum2,1.003,7505.08,0.54,7506.622,1.542
4,Task 4: sum4,2775.922,2746.918,0.415,5523.254,2776.337
5,Task 1: sum1,1.004,2472.995,0.633,2474.632,1.637
5,Task 3: sum3,1.094,5982.23,1.002,5984.326,2.096
5,Task 4: sum4,2387.991,3603.975,0.544,5992.51,2388.535
5,Task 2: sum2,1.742,7469.805,0.504,7472.051,2.246
6,Task 1: sum1,0.958,2537.007,0.646,2538.612,1.604
6,Task 3: sum3,0.897,6504.294,0.709,6505.901,1.606
6,Task 4: sum4,2388.289,4125.012,0.716,6514.017,2389.005
6,Task 2: sum2,1.074,7521.988,0.478,7523.54,1.552
7,Task 1: sum1,0.889,2471.441,0.897,2473.226,1.785
7,Task 3: sum3,1.024,5983.605,0.851,5985.479,1.875
7,Task 4: sum4,2388.007,3602.821,0.765,5991.593,2388.772
7,Task 2: sum2,0.911,7474.583,0.662,7476.156,1.573
8,Task 1: sum1,1.258,2532.816,0.652,2534.725,1.91
8,Task 3: sum3,0.963,6509.139,0.704,6510.806,1.667
8,Task 4: sum4,2388.546,4129.051,0.572,6518.168,2389.117
8,Task 2: sum2,1.295,7524.634,0.416,7526.346,1.711
9,Task 1: sum1,0.881,2488.061,0.694,2489.637,1.576
9,Task 3: sum3,0.964,6528.209,0.681,6529.854,1.646
9,Task 4: sum4,2388.974,4144.885,0.51,6534.368,2389.483
9,Task 2: sum2,0.889,8011.471,0.863,8013.223,1.752
10,Task 1: sum1,1.057,2476.946,0.676,2478.68,1.734
10,Task 3: sum3,0.964,6023.49,0.699,6025.152,1.662
10,Task 4: sum4,2389.608,3641.774,0.5,6031.882,2390.108
10,Task 2: sum2,1.472,7496.072,0.458,7498.002,1.93
11,Task 1: sum1,0.982,2494.027,0.69,2495.7,1.672
11,Task 3: sum3,0.984,5512.399,0.746,5514.129,1.73
11,Task 4: sum4,2389.331,3133.93,0.542,5523.803,2389.873
11,Task 2: sum2,0.951,7491.002,0.686,7492.639,1.637
12,Task 1: sum1,1.256,2481.156,0.679,2483.09,1.935
12,Task 3: sum3,1.018,6007.819,0.706,6009.543,1.724
