Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.897,2178.576,0.555,2190.028,11.452
1,Task 2: sum2,8.942,2191.053,0.527,2200.523,9.469
1,Task 3: sum3,9.254,2189.211,0.501,2198.966,9.756
1,Task 4: sum4,11.001,2190.171,4.313,2205.485,15.314
2,Task 1: sum1,1.032,2181.872,0.485,2183.389,1.517
2,Task 2: sum2,1.815,2188.838,0.436,2191.089,2.251
2,Task 3: sum3,0.587,2189.666,0.412,2190.665,1.0
2,Task 4: sum4,0.556,2192.344,0.394,2193.294,0.95
3,Task 1: sum1,0.886,2180.524,0.502,2181.912,1.388
3,Task 2: sum2,2.128,2189.388,0.463,2191.979,2.591
3,Task 3: sum3,0.507,2193.17,0.387,2194.065,0.895
3,Task 4: sum4,0.508,2190.495,0.404,2191.408,0.913
4,Task 1: sum1,1.221,2181.055,0.494,2182.77,1.715
4,Task 2: sum2,1.911,2193.61,0.473,2195.993,2.384
4,Task 3: sum3,1.898,2191.397,0.394,2193.689,2.292
4,Task 4: sum4,0.517,2191.681,0.408,2192.606,0.925
5,Task 1: sum1,0.755,2182.589,0.498,2183.842,1.254
5,Task 2: sum2,1.817,2191.941,0.442,2194.2,2.259
5,Task 3: sum3,1.7,2190.794,0.404,2192.898,2.104
5,Task 4: sum4,1.253,2191.461,0.374,2193.088,1.627

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.974,2181.510,0.495,2182.978,1.468
AVERAGE,Task 2: sum2,1.918,2190.944,0.454,2193.315,2.371
AVERAGE,Task 3: sum3,1.173,2191.257,0.399,2192.829,1.573
AVERAGE,Task 4: sum4,0.709,2191.495,0.395,2192.599,1.104
