Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.031,2286.56,0.801,2313.393,26.833
1,Task 2: sum2,24.833,2285.868,3.342,2314.043,28.175
1,Task 3: sum3,32.698,2287.338,1.0,2321.035,33.697
1,Task 4: sum4,2318.765,2287.465,0.898,4607.128,2319.663
2,Task 1: sum1,1.095,2286.914,0.66,2288.669,1.755
2,Task 2: sum2,1.07,2287.945,2.513,2291.528,3.584
2,Task 3: sum3,5.353,2287.602,0.644,2293.598,5.996
2,Task 4: sum4,2291.972,2288.705,0.676,4581.353,2292.648
3,Task 1: sum1,3.186,2287.916,0.739,2291.842,3.926
3,Task 4: sum4,2.934,2287.548,0.709,2291.191,3.643
4,Task 1: sum1,3.244,2288.126,1.05,2292.42,4.294
4,Task 2: sum2,3.2,2287.751,1.029,2291.98,4.229
4,Task 3: sum3,3.321,2288.644,0.662,2292.627,3.983
4,Task 4: sum4,1.697,4577.815,0.648,4580.159,2.344
5,Task 1: sum1,3.14,2287.611,0.759,2291.51,3.899
5,Task 4: sum4,3.009,2288.031,0.746,2291.786,3.755

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,2.666,2287.642,0.802,2291.110,3.468
AVERAGE,Task 2: sum2,2.135,2287.848,1.771,2291.754,3.907
AVERAGE,Task 3: sum3,4.337,2288.123,0.653,2293.113,4.990
AVERAGE,Task 4: sum4,574.903,2860.525,0.695,3436.122,575.598
