Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.896,0.789,0.518,28.203,27.414
2,Task 1: sum1,1.002,0.848,14.633,16.483,15.635
3,Task 1: sum1,0.869,0.826,0.457,2.152,1.326
4,Task 1: sum1,0.835,0.833,0.463,2.131,1.299
5,Task 1: sum1,0.86,0.856,0.733,2.449,1.592
6,Task 1: sum1,0.888,0.895,0.685,2.468,1.573
7,Task 1: sum1,0.87,0.81,0.466,2.146,1.336
8,Task 1: sum1,0.835,0.857,0.44,2.133,1.275
9,Task 1: sum1,1.039,0.827,0.521,2.386,1.559
10,Task 1: sum1,1.099,0.833,0.676,2.608,1.775
11,Task 1: sum1,0.947,0.804,0.645,2.396,1.592
12,Task 1: sum1,0.961,0.841,0.725,2.527,1.686
13,Task 1: sum1,0.895,0.844,0.487,2.226,1.382
14,Task 1: sum1,0.778,0.821,0.447,2.045,1.224
15,Task 1: sum1,0.859,0.829,0.836,2.523,1.695
16,Task 1: sum1,0.93,0.856,0.456,2.243,1.387
17,Task 1: sum1,0.77,0.829,0.438,2.037,1.207
18,Task 1: sum1,0.84,0.841,0.486,2.168,1.326
19,Task 1: sum1,0.909,0.857,0.435,2.201,1.344
20,Task 1: sum1,0.85,0.829,0.685,2.363,1.534
21,Task 1: sum1,0.908,0.828,0.435,2.171,1.343
22,Task 1: sum1,0.772,0.833,0.444,2.049,1.216
23,Task 1: sum1,0.871,0.816,0.435,2.122,1.306
24,Task 1: sum1,0.828,0.82,0.423,2.072,1.252
25,Task 1: sum1,1.124,0.808,0.455,2.387,1.579
26,Task 1: sum1,1.083,0.864,0.438,2.386,1.522
27,Task 1: sum1,0.943,0.844,0.442,2.228,1.385
28,Task 1: sum1,0.754,0.817,0.374,1.945,1.128
29,Task 1: sum1,0.909,0.833,0.419,2.161,1.328
30,Task 1: sum1,0.892,0.888,0.457,2.236,1.349
31,Task 1: sum1,1.041,0.874,0.458,2.372,1.499
32,Task 1: sum1,0.867,0.849,0.641,2.357,1.508
33,Task 1: sum1,1.121,0.845,0.46,2.426,1.582
34,Task 1: sum1,0.966,0.821,0.515,2.302,1.48
35,Task 1: sum1,0.853,0.845,0.424,2.122,1.277
36,Task 1: sum1,0.886,0.839,0.46,2.185,1.346
37,Task 1: sum1,1.084,0.808,0.479,2.371,1.563
38,Task 1: sum1,1.133,0.828,0.464,2.425,1.597
39,Task 1: sum1,0.84,0.831,0.459,2.13,1.299
40,Task 1: sum1,0.759,0.88,0.418,2.058,1.177
41,Task 1: sum1,0.92,0.858,0.402,2.179,1.322
42,Task 1: sum1,0.868,0.828,0.439,2.135,1.307
43,Task 1: sum1,0.869,0.836,0.472,2.177,1.341
44,Task 1: sum1,0.843,0.825,0.442,2.11,1.285
45,Task 1: sum1,0.891,0.853,0.436,2.18,1.327
46,Task 1: sum1,0.799,0.83,0.438,2.066,1.237
47,Task 1: sum1,1.011,0.798,0.459,2.268,1.47
48,Task 1: sum1,0.77,0.834,0.425,2.029,1.195
49,Task 1: sum1,0.828,0.841,0.498,2.166,1.325
50,Task 1: sum1,0.848,0.83,0.446,2.124,1.294

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.904,0.838,0.781,2.523,1.685
