Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,25.924,2288.4,0.8,2315.123,26.724
1,Task 2: sum2,21.661,2288.672,5.817,2316.151,27.479
1,Task 3: sum3,34.844,2289.641,0.708,2325.193,35.552
1,Task 4: sum4,36.549,4579.567,0.716,4616.832,37.265
2,Task 1: sum1,1.076,2288.995,0.775,2290.847,1.851
2,Task 2: sum2,0.936,2288.756,1.987,2291.68,2.923
2,Task 3: sum3,1.771,2289.617,0.653,2292.042,2.425
2,Task 4: sum4,2291.86,2289.658,0.615,4582.133,2292.475
3,Task 1: sum1,0.849,2288.815,0.754,2290.418,1.603
3,Task 2: sum2,1.0,2288.579,2.15,2291.729,3.15
3,Task 3: sum3,1.666,2289.557,0.652,2291.876,2.319
3,Task 4: sum4,2291.638,2289.879,0.672,4582.189,2292.31
4,Task 1: sum1,0.806,2288.824,0.905,2290.535,1.711
4,Task 2: sum2,0.918,2289.069,1.596,2291.583,2.513
4,Task 3: sum3,1.064,2289.828,0.679,2291.571,1.743
4,Task 4: sum4,2291.469,2290.136,0.599,4582.203,2292.067
5,Task 1: sum1,0.841,2288.767,0.752,2290.36,1.594
5,Task 2: sum2,0.916,2288.362,0.597,2289.875,1.513
5,Task 3: sum3,0.739,2289.527,0.636,2290.902,1.375
5,Task 4: sum4,0.846,4579.448,0.813,4581.107,1.659

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.893,2288.850,0.796,2290.540,1.690
AVERAGE,Task 2: sum2,0.943,2288.691,1.583,2291.217,2.525
AVERAGE,Task 3: sum3,1.310,2289.632,0.655,2291.598,1.966
AVERAGE,Task 4: sum4,1718.953,2862.280,0.675,4581.908,1719.628
