Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.855,2178.436,0.6,2189.892,11.456
2,Task 1: sum1,0.602,2178.891,0.484,2179.978,1.087
3,Task 1: sum1,0.513,2179.093,0.46,2180.067,0.973
4,Task 1: sum1,0.626,2179.154,0.51,2180.291,1.136
5,Task 1: sum1,0.579,2179.242,0.521,2180.342,1.1
6,Task 1: sum1,0.723,2178.918,0.477,2180.118,1.2
7,Task 1: sum1,0.526,2179.629,0.508,2180.664,1.035
8,Task 1: sum1,0.533,2179.645,0.495,2180.674,1.028
9,Task 1: sum1,0.717,2179.637,0.512,2180.866,1.229
10,Task 1: sum1,0.502,2180.002,0.497,2181.002,0.999
11,Task 1: sum1,0.528,2180.058,0.469,2181.055,0.997
12,Task 1: sum1,0.518,2179.773,0.469,2180.76,0.987
13,Task 1: sum1,0.542,2179.847,0.477,2180.866,1.019
14,Task 1: sum1,0.536,2179.98,0.506,2181.022,1.042
15,Task 1: sum1,0.538,2180.462,0.505,2181.504,1.043
16,Task 1: sum1,0.589,2180.633,0.502,2181.725,1.091
17,Task 1: sum1,0.561,2180.45,0.484,2181.496,1.045
18,Task 1: sum1,0.496,2180.559,0.46,2181.515,0.956
19,Task 1: sum1,0.556,2180.352,0.51,2181.417,1.065
20,Task 1: sum1,0.526,2180.816,0.467,2181.809,0.993
21,Task 1: sum1,0.519,2180.804,0.497,2181.821,1.017
22,Task 1: sum1,0.584,2179.501,0.537,2180.622,1.122
23,Task 1: sum1,0.506,2177.977,0.565,2179.049,1.072
24,Task 1: sum1,0.527,2177.815,0.508,2178.851,1.035
25,Task 1: sum1,0.56,2178.185,0.486,2179.231,1.046
26,Task 1: sum1,0.506,2178.174,0.463,2179.143,0.969
27,Task 1: sum1,0.522,2178.422,0.466,2179.41,0.988
28,Task 1: sum1,0.524,2178.625,0.486,2179.635,1.011
29,Task 1: sum1,0.665,2179.157,0.48,2180.302,1.145
30,Task 1: sum1,0.531,2178.833,0.474,2179.837,1.004
31,Task 1: sum1,0.577,2178.972,0.449,2179.998,1.026
32,Task 1: sum1,0.529,2179.268,0.471,2180.269,1.001
33,Task 1: sum1,0.53,2179.449,0.474,2180.452,1.003
34,Task 1: sum1,0.598,2179.587,0.464,2180.649,1.062
35,Task 1: sum1,0.515,2179.445,0.505,2180.465,1.02
36,Task 1: sum1,0.523,2179.575,0.497,2180.595,1.019
37,Task 1: sum1,0.567,2179.807,0.515,2180.889,1.083
38,Task 1: sum1,0.558,2180.113,0.487,2181.159,1.045
39,Task 1: sum1,0.5,2179.969,0.472,2180.942,0.972
40,Task 1: sum1,0.484,2179.831,0.459,2180.775,0.943
41,Task 1: sum1,0.506,2180.34,0.499,2181.345,1.005
42,Task 1: sum1,0.514,2180.157,0.479,2181.15,0.993
43,Task 1: sum1,0.488,2180.528,0.475,2181.492,0.963
44,Task 1: sum1,0.517,2180.81,0.456,2181.783,0.973
45,Task 1: sum1,0.552,2180.561,0.466,2181.579,1.018
46,Task 1: sum1,0.651,2180.645,0.44,2181.736,1.091
47,Task 1: sum1,0.743,2180.868,0.498,2182.109,1.241
48,Task 1: sum1,0.508,2180.857,0.471,2181.836,0.979
49,Task 1: sum1,0.506,2181.343,0.505,2182.355,1.011
50,Task 1: sum1,0.55,2181.163,0.5,2182.213,1.05

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.552,2179.754,0.487,2180.793,1.039
