Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.772,5042.854,0.785,5070.41,27.556
1,Task 2: sum2,670.438,2701.328,0.532,3372.298,670.97
1,Task 3: sum3,21.289,5022.923,0.759,5044.971,22.048
1,Task 4: sum4,683.737,2678.172,0.57,3362.48,684.308
2,Task 1: sum1,3.098,4943.455,0.961,4947.515,4.059
2,Task 2: sum2,712.244,2600.372,0.528,3313.144,712.772
2,Task 3: sum3,1.018,5045.491,0.963,5047.472,1.981
2,Task 4: sum4,705.85,2706.711,0.478,3413.039,706.329
3,Task 1: sum1,0.931,5074.815,0.796,5076.542,1.727
3,Task 2: sum2,1.161,2736.003,0.497,2737.66,1.658
3,Task 3: sum3,1.05,5046.485,0.747,5048.282,1.797
3,Task 4: sum4,754.552,2708.091,0.563,3463.206,755.115
4,Task 1: sum1,0.862,5362.02,0.815,5363.697,1.678
4,Task 2: sum2,807.932,3020.64,0.493,3829.065,808.425
4,Task 3: sum3,0.967,5040.291,0.722,5041.98,1.689
4,Task 4: sum4,805.197,2701.508,0.524,3507.229,805.721
5,Task 1: sum1,3.039,5037.729,0.682,5041.45,3.721
5,Task 2: sum2,853.335,2696.822,0.479,3550.636,853.814
5,Task 3: sum3,1.095,4974.067,0.65,4975.811,1.744
5,Task 4: sum4,850.958,2635.415,0.486,3486.859,851.444
6,Task 1: sum1,1.227,4947.097,0.652,4948.975,1.879
6,Task 2: sum2,3.305,2606.066,0.47,2609.841,3.775
6,Task 3: sum3,0.926,5038.17,0.62,5039.716,1.546
6,Task 4: sum4,830.297,2698.099,0.417,3528.813,830.714
7,Task 1: sum1,0.888,5038.697,1.079,5040.664,1.967
7,Task 2: sum2,1.147,2699.674,0.862,2701.682,2.008
7,Task 3: sum3,1.027,5034.269,0.935,5036.231,1.962
7,Task 4: sum4,871.014,2695.377,0.44,3566.831,871.454
8,Task 1: sum1,3.047,5054.979,0.687,5058.713,3.734
8,Task 2: sum2,913.103,2715.168,0.468,3628.739,913.57
8,Task 3: sum3,1.272,5034.103,0.923,5036.298,2.195
8,Task 4: sum4,909.279,2695.193,0.446,3604.918,909.725
9,Task 1: sum1,2.972,5040.648,1.18,5044.799,4.152
9,Task 2: sum2,1002.23,2648.94,0.445,3651.615,1002.675
9,Task 3: sum3,1.034,5042.383,0.724,5044.141,1.757
9,Task 4: sum4,947.602,2703.236,0.42,3651.258,948.022
10,Task 1: sum1,0.821,5049.065,0.664,5050.551,1.486
10,Task 2: sum2,1043.578,2660.352,0.45,3704.38,1044.028
10,Task 3: sum3,0.92,4985.409,0.671,4987.001,1.591
10,Task 4: sum4,1043.522,2599.336,0.5,3643.358,1044.022
11,Task 1: sum1,1.123,5053.936,0.715,5055.774,1.838
11,Task 2: sum2,1038.104,2663.085,0.463,3701.652,1038.567
11,Task 3: sum3,0.962,5041.921,0.679,5043.563,1.642
11,Task 4: sum4,1035.868,2653.598,0.466,3689.932,1036.333
12,Task 1: sum1,0.905,4947.711,0.835,4949.45,1.74
12,Task 2: sum2,1086.072,2555.813,0.728,3642.613,1086.8
12,Task 3: sum3,0.942,5036.285,0.885,5038.113,1.828
12,Task 4: sum4,1083.3,2645.937,0.429,3729.666,1083.729
13,Task 1: sum1,0.822,5048.583,0.698,5050.103,1.52
13,Task 2: sum2,1123.259,2658.016,0.447,3781.722,1123.706
