Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.725,2426.524,0.811,2454.06,27.537
1,Task 2: sum2,22.134,7198.555,0.865,7221.554,22.999
1,Task 3: sum3,27.158,4901.752,0.741,4929.651,27.899
1,Task 4: sum4,23.913,4903.994,0.527,4928.435,24.44
2,Task 1: sum1,1.519,2430.416,0.722,2432.657,2.241
2,Task 2: sum2,1.116,7148.005,0.912,7150.032,2.028
2,Task 3: sum3,1.079,4861.097,0.508,4862.685,1.588
2,Task 4: sum4,2286.754,2575.982,0.415,4863.151,2287.169
3,Task 1: sum1,0.96,2422.204,0.639,2423.803,1.599
3,Task 3: sum3,1.182,4891.922,0.811,4893.914,1.992
3,Task 4: sum4,2287.047,2606.947,0.482,4894.476,2287.529
3,Task 2: sum2,1.024,7181.146,0.659,7182.828,1.683
4,Task 1: sum1,0.895,2431.398,0.659,2432.952,1.554
4,Task 2: sum2,1.013,7143.518,0.782,7145.313,1.795
4,Task 3: sum3,1.295,4857.429,0.504,4859.228,1.799
4,Task 4: sum4,2287.761,2571.151,0.549,4859.46,2288.309
5,Task 1: sum1,0.908,2733.194,0.682,2734.784,1.59
5,Task 4: sum4,2287.72,2594.453,0.788,4882.961,2288.508
5,Task 3: sum3,1.273,4883.291,0.434,4884.998,1.707
5,Task 2: sum2,0.932,7172.051,0.447,7173.43,1.38

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.071,2504.303,0.675,2506.049,1.746
AVERAGE,Task 2: sum2,1.021,7161.180,0.700,7162.901,1.722
AVERAGE,Task 3: sum3,1.207,4873.435,0.564,4875.206,1.772
AVERAGE,Task 4: sum4,2287.320,2587.133,0.558,4875.012,2287.879
