Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,25.973,2285.523,1.14,2312.635,27.113
2,Task 1: sum1,1.09,2285.343,0.699,2287.132,1.789
3,Task 1: sum1,0.836,2285.559,0.66,2287.054,1.496
4,Task 1: sum1,0.864,2285.498,1.026,2287.388,1.891
5,Task 1: sum1,0.94,2285.702,0.704,2287.346,1.644
6,Task 1: sum1,0.834,2285.884,0.671,2287.389,1.506
7,Task 1: sum1,1.064,2286.246,0.685,2287.995,1.749
8,Task 1: sum1,0.832,2285.894,0.735,2287.461,1.567
9,Task 1: sum1,0.845,2286.196,0.643,2287.684,1.488
10,Task 1: sum1,0.872,2286.673,0.642,2288.187,1.514
11,Task 1: sum1,0.853,2286.595,0.978,2288.426,1.831
12,Task 1: sum1,0.913,2286.404,0.638,2287.955,1.551
13,Task 1: sum1,0.781,2286.757,0.659,2288.198,1.44
14,Task 1: sum1,1.066,2286.754,0.987,2288.807,2.053
15,Task 1: sum1,0.943,2286.587,0.689,2288.218,1.631
16,Task 1: sum1,1.104,2287.213,0.622,2288.94,1.726
17,Task 1: sum1,0.898,2286.871,0.731,2288.5,1.629
18,Task 1: sum1,0.811,2287.124,0.639,2288.574,1.45
19,Task 1: sum1,1.122,2287.465,0.679,2289.266,1.801
20,Task 1: sum1,0.822,2287.623,0.643,2289.088,1.465
21,Task 1: sum1,1.078,2286.775,0.66,2288.513,1.738
22,Task 1: sum1,1.028,2285.077,1.06,2287.165,2.088
23,Task 1: sum1,0.92,2284.253,0.65,2285.823,1.57
24,Task 1: sum1,0.83,2285.175,0.695,2286.7,1.525
25,Task 1: sum1,0.866,2284.533,0.722,2286.121,1.588
26,Task 1: sum1,1.049,2284.939,0.692,2286.68,1.742
27,Task 1: sum1,0.993,2285.17,0.71,2286.872,1.702
28,Task 1: sum1,0.82,2285.093,0.7,2286.613,1.52
29,Task 1: sum1,0.937,2285.423,0.708,2287.069,1.646
30,Task 1: sum1,0.867,2285.474,0.673,2287.013,1.539
31,Task 1: sum1,0.772,2285.674,0.706,2287.152,1.478
32,Task 1: sum1,0.822,2286.229,0.678,2287.73,1.5
33,Task 1: sum1,0.911,2286.034,0.638,2287.584,1.549
34,Task 1: sum1,0.966,2286.185,0.696,2287.847,1.662
35,Task 1: sum1,0.879,2286.036,0.711,2287.626,1.59
36,Task 1: sum1,0.822,2286.166,0.629,2287.617,1.451
37,Task 1: sum1,0.928,2286.312,0.982,2288.221,1.91
38,Task 1: sum1,0.908,2286.432,0.679,2288.02,1.587
39,Task 1: sum1,0.82,2286.761,0.718,2288.299,1.539
40,Task 1: sum1,0.804,2286.621,0.708,2288.133,1.511
41,Task 1: sum1,0.753,2287.43,0.618,2288.8,1.371
42,Task 1: sum1,1.133,2286.947,0.625,2288.705,1.758
43,Task 1: sum1,0.902,2287.314,0.694,2288.91,1.596
44,Task 1: sum1,0.83,2287.165,0.626,2288.62,1.456
45,Task 1: sum1,0.785,2287.002,0.674,2288.461,1.459
46,Task 1: sum1,0.879,2287.757,0.635,2289.271,1.514
47,Task 1: sum1,0.846,2287.131,0.678,2288.655,1.524
48,Task 1: sum1,0.894,2287.328,0.631,2288.853,1.525
49,Task 1: sum1,0.834,2288.134,0.982,2289.95,1.816
50,Task 1: sum1,0.83,2287.7,1.167,2289.697,1.997

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.902,2286.340,0.724,2287.966,1.626
