Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 2: sum2,24.185,2288.392,0.773,2313.351,24.958
1,Task 1: sum1,27.273,4576.639,0.865,4604.777,28.138
1,Task 3: sum3,24.275,2287.738,0.698,2312.711,24.973
1,Task 4: sum4,1311.977,2287.499,0.773,3600.249,1312.75
2,Task 2: sum2,1.028,2286.78,0.619,2288.427,1.648
2,Task 1: sum1,0.996,4573.857,0.72,4575.573,1.716
2,Task 3: sum3,0.985,2287.08,0.661,2288.726,1.646
2,Task 4: sum4,1288.095,2287.112,0.836,3576.043,1288.931
3,Task 2: sum2,0.949,2287.951,0.626,2289.526,1.575
3,Task 1: sum1,0.864,4576.235,0.717,4577.815,1.58
3,Task 3: sum3,0.9,2287.764,0.641,2289.305,1.541
3,Task 4: sum4,1288.709,2287.837,0.933,3577.479,1289.642
4,Task 2: sum2,0.916,2287.975,0.616,2289.508,1.532
4,Task 1: sum1,1.254,4575.811,0.792,4577.857,2.046
4,Task 3: sum3,0.928,2287.751,0.957,2289.636,1.885
4,Task 4: sum4,1288.932,2287.663,0.686,3577.281,1289.619
5,Task 2: sum2,0.958,2287.945,0.68,2289.582,1.638
5,Task 1: sum1,0.927,4576.142,0.814,4577.883,1.741
5,Task 3: sum3,0.849,2288.118,0.615,2289.582,1.465
5,Task 4: sum4,1289.018,2288.403,0.514,3577.935,1289.532

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 2: sum2,0.963,2287.663,0.635,2289.261,1.598
AVERAGE,Task 1: sum1,1.010,4575.511,0.761,4577.282,1.771
AVERAGE,Task 3: sum3,0.915,2287.678,0.719,2289.312,1.634
AVERAGE,Task 4: sum4,1288.688,2287.754,0.742,3577.184,1289.431
