Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,27.095,2287.498,0.812,2315.405,27.907
1,Task 2: sum2,20.945,2305.801,0.97,2327.716,21.915
1,Task 3: sum3,1326.797,2287.824,0.775,3615.395,1327.571
1,Task 4: sum4,3611.967,2287.78,0.812,5900.559,3612.779
2,Task 1: sum1,1.072,2287.908,0.699,2289.68,1.772
2,Task 2: sum2,1.043,2287.707,0.876,2289.626,1.919
2,Task 3: sum3,1288.788,2287.953,0.642,3577.383,1289.43
2,Task 4: sum4,3576.092,2287.846,0.717,5864.654,3576.808
3,Task 1: sum1,0.987,2288.058,0.904,2289.949,1.891
3,Task 2: sum2,1.038,2288.119,0.602,2289.758,1.64
3,Task 4: sum4,1288.483,2287.89,1.004,3577.377,1289.487
3,Task 3: sum3,3577.178,2287.848,0.663,5865.689,3577.841
4,Task 1: sum1,0.842,2288.066,0.708,2289.616,1.55
4,Task 2: sum2,0.888,2288.299,0.71,2289.897,1.598
4,Task 4: sum4,1288.536,2288.085,0.651,3577.273,1289.187
4,Task 3: sum3,3577.433,2288.059,0.688,5866.179,3578.12
5,Task 1: sum1,0.927,2288.043,0.688,2289.659,1.616
5,Task 2: sum2,0.992,2288.022,0.549,2289.563,1.541
5,Task 4: sum4,1288.411,2288.344,0.776,3577.531,1289.187
5,Task 3: sum3,3577.516,2288.257,0.69,5866.463,3578.206

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.957,2288.019,0.750,2289.726,1.707
AVERAGE,Task 2: sum2,0.990,2288.037,0.684,2289.711,1.675
AVERAGE,Task 3: sum3,3005.229,2288.029,0.671,5293.928,3005.899
AVERAGE,Task 4: sum4,1860.380,2288.041,0.787,4149.209,1861.167
