Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.887,2180.008,0.54,2191.434,11.427
1,Task 2: sum2,8.82,2192.518,0.474,2201.812,9.294
1,Task 3: sum3,8.876,2190.576,0.458,2199.909,9.333
1,Task 4: sum4,10.889,2191.875,4.427,2207.192,15.317
2,Task 1: sum1,1.019,2181.774,0.497,2183.291,1.516
2,Task 2: sum2,1.819,2187.959,0.498,2190.277,2.318
2,Task 3: sum3,0.543,2187.915,0.475,2188.933,1.018
2,Task 4: sum4,0.566,2190.177,0.422,2191.166,0.988
3,Task 1: sum1,1.797,2178.244,0.502,2180.542,2.299
3,Task 2: sum2,2.701,2188.544,0.421,2191.666,3.122
3,Task 3: sum3,0.524,2191.202,0.374,2192.1,0.898
3,Task 4: sum4,0.518,2188.971,0.395,2189.884,0.913
4,Task 1: sum1,1.284,2179.35,0.462,2181.096,1.746
4,Task 2: sum2,1.948,2192.941,0.474,2195.364,2.423
4,Task 3: sum3,1.861,2190.119,0.396,2192.376,2.257
4,Task 4: sum4,0.549,2190.237,0.427,2191.213,0.976
5,Task 1: sum1,0.778,2181.679,0.497,2182.955,1.275
5,Task 2: sum2,1.879,2190.737,0.46,2193.075,2.339
5,Task 3: sum3,1.712,2191.395,0.407,2193.514,2.119
5,Task 4: sum4,0.559,2193.151,0.376,2194.085,0.934

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.220,2180.262,0.489,2181.971,1.709
AVERAGE,Task 2: sum2,2.087,2190.045,0.463,2192.595,2.550
AVERAGE,Task 3: sum3,1.160,2190.158,0.413,2191.731,1.573
AVERAGE,Task 4: sum4,0.548,2190.634,0.405,2191.587,0.953
