Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,27.022,2286.476,0.851,2314.348,27.873
1,Task 2: sum2,22.095,2286.09,1.121,2309.307,23.217
1,Task 3: sum3,26.042,2286.802,1.086,2313.93,27.128
1,Task 4: sum4,2310.577,2291.587,1.002,4603.166,2311.579
2,Task 1: sum1,17.15,2289.53,0.866,2307.547,18.016
2,Task 2: sum2,2.059,2287.026,1.176,2290.262,3.236
2,Task 3: sum3,2.11,2288.889,0.625,2291.625,2.736
2,Task 4: sum4,2290.536,2287.897,0.722,4579.154,2291.258
3,Task 1: sum1,3.11,2286.969,0.736,2290.815,3.847
3,Task 2: sum2,13.712,2287.269,2.793,2303.774,16.505
3,Task 3: sum3,5.481,2288.163,0.924,2294.568,6.405
3,Task 4: sum4,2292.634,2288.279,0.787,4581.699,2293.421
4,Task 1: sum1,3.26,2287.723,1.041,2292.024,4.301
4,Task 2: sum2,2.934,2287.447,0.971,2291.352,3.905
4,Task 3: sum3,4.175,2288.435,0.699,2293.309,4.874
4,Task 4: sum4,2291.584,2288.473,0.951,4581.008,2292.535
5,Task 1: sum1,3.148,2287.634,0.76,2291.542,3.908
5,Task 2: sum2,9.044,2288.209,1.257,2298.51,10.301
5,Task 3: sum3,4.386,2288.482,0.981,2293.849,5.367
5,Task 4: sum4,2291.78,2288.993,0.825,4581.598,2292.605

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,6.667,2287.964,0.851,2295.482,7.518
AVERAGE,Task 2: sum2,6.937,2287.488,1.549,2295.975,8.487
AVERAGE,Task 3: sum3,4.038,2288.492,0.807,2293.338,4.846
AVERAGE,Task 4: sum4,2291.633,2288.410,0.821,4580.865,2292.455
