Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 2: sum2,21.824,3186.19,1.104,3209.119,22.929
1,Task 1: sum1,26.681,5017.163,0.774,5044.617,27.455
1,Task 3: sum3,21.044,5052.315,0.686,5074.045,21.731
1,Task 4: sum4,547.237,2698.435,0.796,3246.469,548.033
2,Task 2: sum2,1.162,3312.959,0.719,3314.84,1.881
2,Task 1: sum1,1.168,5072.826,0.492,5074.485,1.66
2,Task 3: sum3,0.983,5036.269,0.7,5037.952,1.683
2,Task 4: sum4,586.933,2705.464,0.482,3292.879,587.415
3,Task 2: sum2,3.143,3364.993,0.749,3368.886,3.893
3,Task 1: sum1,3.1,5075.718,0.465,5079.283,3.565
3,Task 3: sum3,0.985,5399.999,0.613,5401.597,1.598
3,Task 4: sum4,634.414,3070.15,0.475,3705.039,634.889
4,Task 1: sum1,0.916,5040.466,1.18,5042.562,2.096
4,Task 2: sum2,1.221,2652.521,0.456,2654.198,1.677
4,Task 3: sum3,1.126,5049.779,0.563,5051.469,1.69
4,Task 4: sum4,1096.948,2665.499,0.435,3762.882,1097.383
5,Task 2: sum2,0.89,3818.628,0.714,3820.233,1.604
5,Task 1: sum1,1.277,5057.499,0.5,5059.277,1.778
5,Task 3: sum3,1.058,5042.935,0.685,5044.678,1.743
5,Task 4: sum4,1153.939,2661.137,0.411,3815.487,1154.35
6,Task 2: sum2,999.829,2888.662,0.74,3889.231,1000.569
6,Task 1: sum1,3.074,5070.65,0.563,5074.288,3.638
6,Task 3: sum3,1.105,5045.648,0.627,5047.38,1.732
6,Task 4: sum4,1207.619,2662.229,0.472,3870.319,1208.09
7,Task 1: sum1,2.962,5072.841,0.965,5076.767,3.927
7,Task 2: sum2,3.205,2682.349,0.799,2686.353,4.004
7,Task 3: sum3,1.133,5047.205,0.694,5049.032,1.827
7,Task 4: sum4,1261.499,2663.917,0.459,3925.874,1261.958
8,Task 2: sum2,3.055,3977.462,0.729,3981.246,3.784
8,Task 1: sum1,3.102,5055.075,0.582,5058.759,3.684
8,Task 3: sum3,1.492,5050.944,1.271,5053.707,2.763
8,Task 4: sum4,1317.881,2666.621,0.464,3984.966,1318.345
9,Task 2: sum2,1.085,4028.29,0.709,4030.084,1.794
9,Task 1: sum1,0.854,5046.822,0.468,5048.144,1.322
9,Task 3: sum3,0.937,5045.326,0.548,5046.812,1.486
9,Task 4: sum4,1376.553,2663.368,0.428,4040.349,1376.981
10,Task 1: sum1,0.84,5239.817,0.718,5241.375,1.558
10,Task 2: sum2,1.25,2911.289,0.445,2912.985,1.696
10,Task 3: sum3,1.405,5120.095,0.881,5122.381,2.286
10,Task 4: sum4,390.306,2778.285,0.489,3169.079,390.794
11,Task 2: sum2,3.172,3172.311,0.732,3176.215,3.904
11,Task 1: sum1,4.572,5002.59,0.466,5007.628,5.038
11,Task 3: sum3,1.088,5002.468,0.687,5004.243,1.775
11,Task 4: sum4,510.913,2667.99,0.447,3179.35,511.36
12,Task 2: sum2,0.992,3176.861,0.695,3178.548,1.687
12,Task 1: sum1,0.857,4998.358,0.486,4999.702,1.344
12,Task 3: sum3,0.952,5004.475,0.533,5005.961,1.486
12,Task 4: sum4,521.499,2671.779,0.478,3193.757,521.977
13,Task 2: sum2,1.095,3209.382,0.708,3211.185,1.802
13,Task 1: sum1,0.905,5016.426,0.491,5017.822,1.396
13,Task 3: sum3,1.026,5016.837,0.601,5018.464,1.627
13,Task 4: sum4,536.023,2683.431,0.437,3219.891,536.46
14,Task 2: sum2,1.022,3269.621,0.643,3271.287,1.666
14,Task 1: sum1,1.238,5050.075,0.439,5051.752,1.677
14,Task 3: sum3,1.243,5038.578,0.659,5040.479,1.901
14,Task 4: sum4,561.936,2704.193,0.454,3266.583,562.389
15,Task 2: sum2,3.442,3334.956,0.691,3339.09,4.133
15,Task 1: sum1,3.164,5070.915,0.428,5074.507,3.592
15,Task 3: sum3,1.023,5044.952,0.694,5046.668,1.716
15,Task 4: sum4,608.686,2712.49,0.503,3321.679,609.189
16,Task 2: sum2,0.921,3389.257,0.682,3390.86,1.603
16,Task 1: sum1,3.203,5067.522,0.54,5071.265,3.743
16,Task 3: sum3,0.965,5035.995,0.78,5037.74,1.745
16,Task 4: sum4,664.542,2702.377,0.447,3367.366,664.989
17,Task 2: sum2,0.91,3790.741,0.913,3792.564,1.823
17,Task 1: sum1,3.216,5422.978,0.727,5426.921,3.943
17,Task 3: sum3,1.176,5052.431,0.717,5054.324,1.893
17,Task 4: sum4,710.873,2717.303,0.459,3428.635,711.332
18,Task 2: sum2,3.074,3478.975,0.734,3482.782,3.808
18,Task 1: sum1,3.077,5054.587,0.675,5058.338,3.751
18,Task 3: sum3,1.283,5044.888,0.69,5046.861,1.973
18,Task 4: sum4,771.43,2715.879,0.44,3487.748,771.869
19,Task 1: sum1,0.952,5043.046,0.921,5044.919,1.873
19,Task 2: sum2,1.045,2703.45,0.739,2705.234,1.784
19,Task 3: sum3,0.993,4973.418,0.67,4975.081,1.663
19,Task 4: sum4,831.191,2645.812,0.527,3477.53,831.718
20,Task 2: sum2,3.084,3530.36,1.012,3534.456,4.096
20,Task 1: sum1,3.075,5055.372,0.46,5058.907,3.535
20,Task 3: sum3,0.963,5039.697,0.652,5041.312,1.615
20,Task 4: sum4,819.988,2705.482,0.729,3526.199,820.717
21,Task 1: sum1,3.602,5047.497,0.684,5051.784,4.287
21,Task 2: sum2,876.347,2703.167,0.461,3579.975,876.808
21,Task 3: sum3,1.31,5045.57,0.695,5047.576,2.005
21,Task 4: sum4,869.428,2711.943,0.716,3582.087,870.144
22,Task 2: sum2,0.958,3638.322,0.671,3639.95,1.628
22,Task 1: sum1,0.853,5060.532,0.427,5061.812,1.28
22,Task 3: sum3,1.101,5038.984,0.667,5040.752,1.768
22,Task 4: sum4,926.409,2704.047,0.499,3630.956,926.908
23,Task 2: sum2,3.286,3699.457,0.758,3703.501,4.044
23,Task 1: sum1,3.149,5070.641,0.487,5074.277,3.636
23,Task 3: sum3,0.931,5509.787,0.905,5511.623,1.836
23,Task 4: sum4,1024.119,3124.931,0.455,4149.505,1024.574
24,Task 2: sum2,1.075,3149.705,0.692,3151.472,1.767
24,Task 1: sum1,1.286,5000.565,0.402,5002.253,1.688
24,Task 3: sum3,0.89,5001.283,0.577,5002.751,1.467
24,Task 4: sum4,493.037,2666.615,0.511,3160.163,493.548
25,Task 2: sum2,1.042,3164.15,0.662,3165.854,1.704
25,Task 1: sum1,0.851,5004.74,0.445,5006.037,1.297
25,Task 3: sum3,0.911,5006.995,0.568,5008.475,1.48
25,Task 4: sum4,504.083,2670.805,0.442,3175.33,504.525
26,Task 2: sum2,0.967,3188.931,0.682,3190.58,1.65
26,Task 1: sum1,0.872,5014.343,0.431,5015.645,1.303
26,Task 3: sum3,1.191,4997.808,0.647,4999.646,1.838
26,Task 4: sum4,518.267,2661.772,0.474,3180.513,518.741
27,Task 1: sum1,3.12,5022.228,0.717,5026.065,3.837
27,Task 2: sum2,529.692,2678.437,0.68,3208.809,530.372
27,Task 3: sum3,0.97,5012.717,0.693,5014.38,1.663
27,Task 4: sum4,523.413,2677.932,0.449,3201.795,523.863
28,Task 2: sum2,3.058,3199.823,0.716,3203.597,3.774
28,Task 1: sum1,2.985,4998.811,0.458,5002.253,3.442
28,Task 3: sum3,1.1,5002.442,0.543,5004.086,1.644
28,Task 4: sum4,544.73,2665.664,0.464,3210.858,545.194
29,Task 1: sum1,0.886,5000.243,0.673,5001.802,1.559
29,Task 2: sum2,1.034,2660.094,1.482,2662.61,2.516
29,Task 3: sum3,0.994,5004.518,0.589,5006.101,1.583
29,Task 4: sum4,554.318,2667.284,0.506,3222.109,554.825
30,Task 2: sum2,0.922,3591.416,0.674,3593.013,1.596
30,Task 1: sum1,0.943,5374.565,0.436,5375.944,1.379
30,Task 3: sum3,0.93,5033.961,0.752,5035.643,1.682
30,Task 4: sum4,566.328,2698.954,0.458,3265.741,566.787
31,Task 1: sum1,3.065,5049.375,0.706,5053.146,3.771
31,Task 2: sum2,614.113,2706.818,0.47,3321.401,614.584
31,Task 3: sum3,1.029,5043.995,0.672,5045.696,1.701
31,Task 4: sum4,609.733,2707.392,0.464,3317.589,610.197
32,Task 2: sum2,3.196,3376.27,0.67,3380.135,3.865
32,Task 1: sum1,1.144,5063.344,0.566,5065.053,1.709
32,Task 3: sum3,1.025,5064.263,0.58,5065.868,1.605
32,Task 4: sum4,661.911,2729.72,0.438,3392.068,662.349
33,Task 1: sum1,0.863,5081.767,0.658,5083.289,1.521
33,Task 2: sum2,736.032,2740.99,0.456,3477.478,736.488
33,Task 3: sum3,1.033,5071.212,0.676,5072.92,1.709
33,Task 4: sum4,735.267,2739.785,0.495,3475.546,735.761
34,Task 2: sum2,3.083,3525.753,0.68,3529.517,3.764
34,Task 1: sum1,1.205,5054.231,0.441,5055.877,1.646
34,Task 3: sum3,0.945,5044.32,0.749,5046.014,1.694
34,Task 4: sum4,819.619,2709.928,0.467,3530.014,820.086
35,Task 2: sum2,0.996,3603.455,0.668,3605.119,1.664
35,Task 1: sum1,3.098,5076.592,0.5,5080.19,3.598
35,Task 3: sum3,1.308,5042.121,0.665,5044.095,1.973
35,Task 4: sum4,873.53,2706.27,0.471,3580.271,874.001
36,Task 2: sum2,3.113,3629.214,0.696,3633.023,3.809
36,Task 1: sum1,3.037,5053.528,0.478,5057.043,3.515
36,Task 3: sum3,1.363,5606.94,0.671,5608.974,2.033
36,Task 4: sum4,924.509,3271.163,0.718,4196.39,925.227
37,Task 2: sum2,1.086,3199.987,0.687,3201.76,1.773
37,Task 1: sum1,1.38,5003.96,0.659,5005.999,2.039
37,Task 3: sum3,0.998,5003.552,0.643,5005.193,1.641
37,Task 4: sum4,541.083,2667.174,0.434,3208.691,541.517
38,Task 1: sum1,0.858,4998.536,0.664,5000.058,1.522
38,Task 2: sum2,1.085,2656.741,0.679,2658.505,1.764
38,Task 3: sum3,0.925,5013.462,0.602,5014.99,1.527
38,Task 4: sum4,552.682,2677.364,0.466,3230.512,553.148
39,Task 2: sum2,0.997,3292.431,0.727,3294.155,1.725
39,Task 1: sum1,0.902,5066.631,0.422,5067.956,1.324
39,Task 3: sum3,0.881,5031.287,0.634,5032.802,1.515
39,Task 4: sum4,573.798,2705.194,0.428,3279.42,574.227
40,Task 2: sum2,3.143,3328.497,0.76,3332.399,3.903
40,Task 1: sum1,3.986,5050.748,0.493,5055.228,4.479
40,Task 3: sum3,1.22,5064.374,0.587,5066.181,1.807
40,Task 4: sum4,623.157,2727.936,0.412,3351.505,623.569
41,Task 2: sum2,1.004,3405.474,0.645,3407.123,1.65
41,Task 1: sum1,0.841,5058.335,0.508,5059.684,1.349
41,Task 3: sum3,0.913,5049.402,0.654,5050.968,1.566
41,Task 4: sum4,695.037,2715.008,0.448,3410.492,695.484
42,Task 2: sum2,0.891,3479.858,0.711,3481.461,1.602
42,Task 1: sum1,3.002,5072.335,0.488,5075.824,3.49
42,Task 3: sum3,1.045,5033.293,0.668,5035.006,1.713
42,Task 4: sum4,754.709,2698.631,0.475,3453.815,755.184
43,Task 2: sum2,3.164,3923.841,0.955,3927.96,4.119
43,Task 1: sum1,3.147,5475.904,0.451,5479.501,3.598
43,Task 3: sum3,1.048,5040.972,0.724,5042.744,1.772
43,Task 4: sum4,797.074,2709.622,0.474,3507.17,797.548
44,Task 2: sum2,1.004,3554.884,0.703,3556.591,1.707
44,Task 1: sum1,3.138,5049.466,0.479,5053.083,3.617
44,Task 3: sum3,1.302,5069.349,0.544,5071.195,1.846
44,Task 4: sum4,851.223,2734.396,0.422,3586.042,851.645
45,Task 2: sum2,1.032,2714.313,0.736,2716.081,1.769
45,Task 1: sum1,0.891,5058.916,0.434,5060.241,1.325
45,Task 3: sum3,1.06,5064.249,0.545,5065.854,1.605
45,Task 4: sum4,930.768,2727.323,0.444,3658.536,931.212
46,Task 1: sum1,0.969,5054.28,0.689,5055.939,1.659
46,Task 2: sum2,1.325,2661.812,0.636,2663.773,1.961
46,Task 3: sum3,0.941,5043.865,0.681,5045.487,1.622
46,Task 4: sum4,1053.157,2656.929,0.455,3710.541,1053.612
47,Task 2: sum2,3.066,3764.673,1.023,3768.762,4.089
47,Task 1: sum1,3.138,5055.789,0.451,5059.379,3.59
47,Task 3: sum3,1.275,5045.472,0.656,5047.403,1.931
47,Task 4: sum4,1104.487,2661.025,0.435,3765.947,1104.922
48,Task 2: sum2,3.216,3841.732,0.74,3845.688,3.956
48,Task 1: sum1,2.987,5080.028,0.495,5083.509,3.481
48,Task 3: sum3,1.009,5064.581,0.679,5066.269,1.688
48,Task 4: sum4,1159.733,2680.652,0.473,3840.857,1160.205
49,Task 2: sum2,1.003,3890.11,0.653,3891.766,1.656
49,Task 1: sum1,3.548,5050.291,0.49,5054.329,4.037
49,Task 3: sum3,1.434,5539.061,0.702,5541.197,2.136
49,Task 4: sum4,1234.919,3154.822,0.482,4390.222,1235.4
50,Task 1: sum1,0.91,5042.92,0.706,5044.535,1.616
50,Task 2: sum2,1.013,2701.834,0.419,2703.265,1.431
50,Task 3: sum3,1.002,5046.195,0.567,5047.764,1.569
50,Task 4: sum4,734.116,2710.38,0.464,3444.96,734.58

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 2: sum2,78.276,3272.760,0.710,3351.747,78.987
AVERAGE,Task 1: sum1,2.086,5073.566,0.561,5076.213,2.647
AVERAGE,Task 3: sum3,1.082,5076.081,0.669,5077.833,1.751
AVERAGE,Task 4: sum4,781.996,2730.695,0.477,3513.169,782.473
