Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,27.482,2288.323,3.202,2319.006,30.684
1,Task 2: sum2,21.68,2289.095,0.695,2311.47,22.375
1,Task 3: sum3,22.198,2288.904,3.134,2314.237,25.332
1,Task 4: sum4,23.213,2290.235,0.73,2314.178,23.943
2,Task 1: sum1,0.98,2288.645,1.664,2291.288,2.644
2,Task 2: sum2,1.42,2289.85,0.651,2291.921,2.071
2,Task 3: sum3,1.209,2288.897,1.2,2291.306,2.409
2,Task 4: sum4,1.418,2290.213,0.599,2292.23,2.017
3,Task 1: sum1,0.834,2288.837,0.627,2290.299,1.462
3,Task 2: sum2,1.009,2289.956,0.656,2291.62,1.665
3,Task 3: sum3,0.781,2289.026,1.192,2291.0,1.973
3,Task 4: sum4,1.256,2289.815,0.633,2291.705,1.89
4,Task 1: sum1,0.886,2289.093,1.461,2291.439,2.347
4,Task 2: sum2,1.252,2289.775,0.663,2291.69,1.914
4,Task 3: sum3,0.855,2289.394,1.108,2291.357,1.963
4,Task 4: sum4,1.356,2289.84,0.671,2291.866,2.026
5,Task 1: sum1,0.874,2289.184,1.237,2291.295,2.111
5,Task 2: sum2,1.209,2290.058,0.644,2291.911,1.853
5,Task 3: sum3,0.876,2289.218,1.712,2291.806,2.588
5,Task 4: sum4,1.629,2289.967,0.559,2292.155,2.188

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.893,2288.940,1.247,2291.080,2.141
AVERAGE,Task 2: sum2,1.222,2289.910,0.653,2291.785,1.876
AVERAGE,Task 3: sum3,0.930,2289.134,1.303,2291.367,2.233
AVERAGE,Task 4: sum4,1.415,2289.959,0.616,2291.989,2.030
