Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,29.99,2287.408,0.733,2318.131,30.723
1,Task 2: sum2,2310.501,2288.239,1.147,4599.886,2311.648
1,Task 3: sum3,28.764,2289.96,0.712,2319.435,29.475
1,Task 4: sum4,2316.15,2289.424,0.847,4606.421,2316.997
2,Task 1: sum1,5.773,2297.022,0.685,2303.48,6.458
2,Task 2: sum2,2300.74,2289.988,0.92,4591.647,2301.66
2,Task 4: sum4,0.84,2288.952,0.983,2290.775,1.823
2,Task 3: sum3,2290.699,2289.509,0.841,4581.049,2291.54
3,Task 2: sum2,26.586,2289.332,0.841,2316.759,27.426
3,Task 1: sum1,2319.929,2289.61,0.608,4610.147,2320.537
3,Task 3: sum3,1.653,2288.95,1.257,2291.861,2.91
3,Task 4: sum4,2293.337,2290.004,0.928,4584.269,2294.265
4,Task 2: sum2,1.444,2288.908,0.636,2290.988,2.08
4,Task 1: sum1,2292.123,2290.039,0.92,4583.082,2293.043
4,Task 3: sum3,1.581,2289.231,0.645,2291.456,2.225
4,Task 4: sum4,2290.142,2289.875,0.736,4580.754,2290.878
5,Task 1: sum1,2.318,2290.068,0.916,2293.302,3.234
5,Task 2: sum2,2292.885,2289.792,0.681,4583.358,2293.566
5,Task 3: sum3,1.205,2289.571,0.606,2291.382,1.811
5,Task 4: sum4,2290.19,2290.171,1.047,4581.408,2291.237

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1155.036,2291.685,0.782,3447.503,1155.818
AVERAGE,Task 2: sum2,1155.414,2289.505,0.770,3445.688,1156.183
AVERAGE,Task 3: sum3,573.784,2289.315,0.837,2863.937,574.621
AVERAGE,Task 4: sum4,1718.627,2289.751,0.923,4009.302,1719.551
