Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.951,2178.18,0.607,2189.739,11.558
1,Task 2: sum2,8.953,2191.153,0.554,2200.66,9.508
1,Task 3: sum3,8.98,2189.986,0.5,2199.466,9.48
1,Task 4: sum4,8.855,2189.184,0.493,2198.532,9.348
2,Task 1: sum1,4.496,2179.856,0.473,2184.825,4.969
2,Task 2: sum2,1.606,2189.619,0.504,2191.729,2.11
2,Task 3: sum3,1.884,2192.817,0.42,2195.122,2.304
2,Task 4: sum4,0.511,2187.417,0.479,2188.407,0.99
3,Task 1: sum1,1.013,2180.64,0.497,2182.151,1.51
3,Task 2: sum2,1.857,2190.449,0.53,2192.835,2.387
3,Task 3: sum3,1.133,2190.924,0.506,2192.564,1.639
3,Task 4: sum4,0.609,2193.353,0.45,2194.412,1.059
4,Task 1: sum1,1.499,2181.76,0.511,2183.77,2.011
4,Task 2: sum2,0.582,2192.712,0.48,2193.774,1.062
4,Task 3: sum3,2.26,2188.033,0.44,2190.733,2.7
4,Task 4: sum4,0.544,2193.174,0.435,2194.152,0.979
5,Task 1: sum1,1.009,2180.557,0.509,2182.075,1.519
5,Task 2: sum2,0.59,2189.913,0.465,2190.968,1.055
5,Task 3: sum3,2.267,2192.368,0.536,2195.171,2.803
5,Task 4: sum4,0.637,2189.331,0.552,2190.52,1.189

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,2.004,2180.703,0.497,2183.205,2.502
AVERAGE,Task 2: sum2,1.159,2190.673,0.495,2192.327,1.653
AVERAGE,Task 3: sum3,1.886,2191.035,0.476,2193.398,2.361
AVERAGE,Task 4: sum4,0.575,2190.819,0.479,2191.873,1.054
