Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.742,139.671,0.813,167.226,27.555
2,Task 1: sum1,1.172,143.362,0.613,145.146,1.785
3,Task 1: sum1,0.804,145.73,0.635,147.168,1.438
4,Task 1: sum1,0.927,191.495,0.6,193.022,1.527
5,Task 1: sum1,0.989,143.742,0.624,145.355,1.614
6,Task 1: sum1,0.853,135.328,0.963,137.145,1.816
7,Task 1: sum1,0.942,139.237,0.579,140.758,1.521
8,Task 1: sum1,0.92,147.941,0.628,149.489,1.548
9,Task 1: sum1,0.878,145.833,0.589,147.3,1.467
10,Task 1: sum1,0.869,146.868,0.619,148.355,1.487
11,Task 1: sum1,0.919,159.129,0.613,160.661,1.532
12,Task 1: sum1,0.95,144.721,0.639,146.309,1.588
13,Task 1: sum1,0.909,146.467,0.629,148.005,1.538
14,Task 1: sum1,0.822,144.055,0.594,145.471,1.416
15,Task 1: sum1,0.902,144.092,0.6,145.593,1.501
16,Task 1: sum1,0.849,147.648,0.647,149.143,1.495
17,Task 1: sum1,0.948,151.335,0.636,152.919,1.584
18,Task 1: sum1,0.872,142.908,0.619,144.399,1.491
19,Task 1: sum1,0.943,144.322,0.616,145.881,1.559
20,Task 1: sum1,0.854,478.298,0.606,479.757,1.46
21,Task 1: sum1,0.978,143.879,0.61,145.467,1.588
22,Task 1: sum1,0.85,140.366,0.807,142.024,1.658
23,Task 1: sum1,0.982,146.279,0.604,147.865,1.585
24,Task 1: sum1,0.914,139.954,0.654,141.523,1.568
25,Task 1: sum1,1.061,144.418,0.596,146.075,1.657
26,Task 1: sum1,1.026,157.274,0.669,158.969,1.695
27,Task 1: sum1,0.897,147.346,0.583,148.826,1.48
28,Task 1: sum1,0.901,146.578,0.587,148.065,1.487
29,Task 1: sum1,0.88,144.25,0.619,145.749,1.499
30,Task 1: sum1,0.896,143.951,0.654,145.501,1.55
31,Task 1: sum1,0.91,145.282,0.572,146.764,1.482
32,Task 1: sum1,0.934,152.158,0.601,153.693,1.535
33,Task 1: sum1,0.885,145.872,0.585,147.342,1.469
34,Task 1: sum1,0.886,145.494,0.608,146.988,1.494
35,Task 1: sum1,0.981,146.447,0.627,148.055,1.608
36,Task 1: sum1,0.832,145.602,0.585,147.018,1.417
37,Task 1: sum1,0.857,147.474,0.605,148.936,1.462
38,Task 1: sum1,0.794,150.475,0.601,151.871,1.396
39,Task 1: sum1,1.164,146.419,0.594,148.177,1.758
40,Task 1: sum1,1.102,144.863,0.622,146.586,1.724
41,Task 1: sum1,0.903,146.356,0.595,147.854,1.498
42,Task 1: sum1,0.856,145.129,0.573,146.558,1.429
43,Task 1: sum1,0.927,138.134,0.599,139.66,1.526
44,Task 1: sum1,1.077,149.091,0.563,150.731,1.64
45,Task 1: sum1,0.91,147.309,0.633,148.852,1.543
46,Task 1: sum1,0.858,135.978,0.588,137.424,1.446
47,Task 1: sum1,0.922,137.882,0.601,139.405,1.523
48,Task 1: sum1,0.851,388.776,0.883,390.51,1.734
49,Task 1: sum1,0.945,144.4,0.624,145.968,1.569
50,Task 1: sum1,0.851,145.896,0.626,147.374,1.477

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.921,158.078,0.627,159.627,1.548
