Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,27.237,572.547,0.738,600.523,27.976
2,Task 1: sum1,15.204,572.619,0.643,588.465,15.846
3,Task 1: sum1,0.78,572.54,0.673,573.993,1.453
4,Task 1: sum1,0.884,572.506,0.691,574.081,1.574
5,Task 1: sum1,0.848,572.552,0.69,574.09,1.539
6,Task 1: sum1,0.858,572.523,0.77,574.151,1.628
7,Task 1: sum1,0.866,572.532,0.648,574.046,1.514
8,Task 1: sum1,1.07,572.594,0.649,574.312,1.719
9,Task 1: sum1,0.833,572.483,0.599,573.914,1.431
10,Task 1: sum1,1.081,572.59,0.577,574.247,1.658
11,Task 1: sum1,0.817,572.71,0.695,574.221,1.512
12,Task 1: sum1,1.07,572.54,0.613,574.223,1.683
13,Task 1: sum1,0.827,572.653,0.639,574.119,1.466
14,Task 1: sum1,1.005,572.809,0.68,574.494,1.686
15,Task 1: sum1,0.817,572.659,0.633,574.109,1.45
16,Task 1: sum1,0.895,572.663,0.663,574.221,1.558
17,Task 1: sum1,0.9,572.651,0.6,574.151,1.5
18,Task 1: sum1,0.91,572.736,1.194,574.84,2.104
19,Task 1: sum1,1.066,572.712,0.646,574.424,1.712
20,Task 1: sum1,0.869,572.717,0.706,574.292,1.575
21,Task 1: sum1,1.067,572.818,0.656,574.542,1.723
22,Task 1: sum1,0.967,572.716,0.808,574.491,1.775
23,Task 1: sum1,0.867,572.823,0.591,574.281,1.458
24,Task 1: sum1,0.854,572.782,0.666,574.302,1.52
25,Task 1: sum1,0.988,572.823,0.637,574.448,1.625
26,Task 1: sum1,0.823,572.766,0.633,574.223,1.457
27,Task 1: sum1,0.84,572.835,0.66,574.335,1.5
28,Task 1: sum1,0.861,572.813,0.554,574.228,1.415
29,Task 1: sum1,0.875,572.868,0.661,574.403,1.536
30,Task 1: sum1,0.804,572.863,0.613,574.28,1.417
31,Task 1: sum1,0.931,572.909,0.813,574.653,1.744
32,Task 1: sum1,0.955,572.93,0.672,574.557,1.627
33,Task 1: sum1,0.988,572.898,0.561,574.447,1.549
34,Task 1: sum1,0.842,572.758,0.594,574.194,1.436
35,Task 1: sum1,0.842,572.946,0.615,574.403,1.457
36,Task 1: sum1,0.803,572.825,0.507,574.135,1.31
37,Task 1: sum1,0.768,572.591,0.619,573.978,1.387
38,Task 1: sum1,0.872,572.314,0.58,573.766,1.452
39,Task 1: sum1,0.783,572.096,0.735,573.613,1.517
40,Task 1: sum1,0.805,572.071,0.556,573.432,1.361
41,Task 1: sum1,0.827,572.101,0.66,573.587,1.487
42,Task 1: sum1,0.911,572.278,0.918,574.107,1.829
43,Task 1: sum1,0.892,572.194,0.576,573.662,1.468
44,Task 1: sum1,1.101,572.323,0.682,574.106,1.783
45,Task 1: sum1,0.859,572.273,0.816,573.948,1.675
46,Task 1: sum1,0.857,572.304,0.618,573.779,1.475
47,Task 1: sum1,0.827,572.313,0.628,573.768,1.455
48,Task 1: sum1,0.765,572.396,0.598,573.758,1.362
49,Task 1: sum1,0.773,572.425,0.711,573.909,1.484
50,Task 1: sum1,1.179,572.409,0.768,574.357,1.947

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.186,572.597,0.668,574.451,1.854
