Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,11.119,2179.456,0.598,2191.172,11.716
1,Task 2: sum2,9.222,2187.458,1.031,2197.711,10.253
1,Task 3: sum3,9.601,2189.389,6.028,2205.018,15.629
1,Task 4: sum4,9.775,2190.877,0.501,2201.153,10.276
2,Task 1: sum1,1.03,2178.559,0.533,2180.122,1.564
2,Task 2: sum2,1.802,2189.077,0.454,2191.333,2.256
2,Task 3: sum3,1.875,2191.798,0.445,2194.118,2.32
2,Task 4: sum4,0.57,2188.187,0.423,2189.181,0.994
3,Task 1: sum1,1.326,2176.889,0.496,2178.71,1.821
3,Task 2: sum2,2.07,2188.898,0.447,2191.415,2.516
3,Task 3: sum3,2.291,2186.428,0.479,2189.199,2.771
3,Task 4: sum4,1.141,2187.6,0.517,2189.259,1.659
4,Task 1: sum1,0.948,2179.876,0.474,2181.298,1.422
4,Task 2: sum2,0.567,2187.84,0.485,2188.892,1.052
4,Task 3: sum3,0.839,2187.954,0.406,2189.199,1.245
4,Task 4: sum4,0.677,2191.142,0.384,2192.203,1.061
5,Task 1: sum1,1.105,2179.25,0.469,2180.824,1.574
5,Task 2: sum2,1.213,2189.432,0.403,2191.048,1.616
5,Task 3: sum3,0.847,2190.097,0.522,2191.467,1.369
5,Task 4: sum4,1.405,2189.852,0.411,2191.667,1.815

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.102,2178.644,0.493,2180.238,1.595
AVERAGE,Task 2: sum2,1.413,2188.812,0.447,2190.672,1.860
AVERAGE,Task 3: sum3,1.463,2189.069,0.463,2190.996,1.926
AVERAGE,Task 4: sum4,0.948,2189.195,0.434,2190.577,1.382
