Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.944,2285.923,0.76,2313.626,27.704
1,Task 3: sum3,25.092,2286.269,0.689,2312.05,25.781
1,Task 4: sum4,2308.69,2286.268,0.755,4595.712,2309.444
1,Task 2: sum2,22.007,6877.284,0.73,6900.021,22.737
2,Task 1: sum1,1.105,2286.461,0.587,2288.153,1.692
2,Task 3: sum3,1.204,2286.427,0.66,2288.291,1.864
2,Task 4: sum4,2287.01,2286.495,0.691,4574.197,2287.701
2,Task 2: sum2,1.017,6859.719,0.588,6861.325,1.605
3,Task 1: sum1,0.923,2286.314,0.605,2287.842,1.528
3,Task 3: sum3,1.354,2286.548,0.597,2288.498,1.951
3,Task 4: sum4,0.666,4573.268,0.647,4574.581,1.313
3,Task 2: sum2,0.936,6860.26,0.608,6861.805,1.544
4,Task 1: sum1,0.932,2286.593,0.624,2288.149,1.556
4,Task 3: sum3,0.872,2286.761,0.507,2288.14,1.38
4,Task 4: sum4,2287.132,2287.012,0.533,4574.677,2287.665
4,Task 2: sum2,6861.856,2286.759,0.515,9149.13,6862.371
5,Task 1: sum1,1.024,2287.004,0.615,2288.643,1.639
5,Task 3: sum3,3.564,2287.003,0.707,2291.275,4.271
5,Task 4: sum4,2289.306,2287.106,0.639,4577.051,2289.945
5,Task 2: sum2,1.051,6861.916,0.636,6863.603,1.687

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.996,2286.593,0.608,2288.197,1.604
AVERAGE,Task 3: sum3,1.748,2286.685,0.618,2289.051,2.366
AVERAGE,Task 4: sum4,1716.029,2858.470,0.627,4575.127,1716.656
AVERAGE,Task 2: sum2,1716.215,5717.164,0.587,7433.966,1716.802
