Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,29.154,2286.046,1.194,2316.394,30.348
1,Task 3: sum3,27.312,2286.671,1.151,2315.135,28.463
1,Task 4: sum4,2311.359,2286.803,1.083,4599.244,2312.441
1,Task 2: sum2,23.06,6860.481,1.428,6884.969,24.488
2,Task 1: sum1,1.924,2286.402,0.984,2289.31,2.908
2,Task 3: sum3,2.039,2286.401,0.874,2289.313,2.913
2,Task 4: sum4,2287.823,2286.448,1.009,4575.279,2288.831
2,Task 2: sum2,1.177,6859.356,0.913,6861.445,2.089
3,Task 1: sum1,1.616,2286.692,0.954,2289.262,2.57
3,Task 3: sum3,2.231,2287.139,0.911,2290.282,3.142
3,Task 4: sum4,2288.706,2286.972,0.949,4576.627,2289.655
3,Task 2: sum2,3.15,6861.061,0.98,6865.192,4.13
4,Task 1: sum1,1.548,2286.54,0.94,2289.027,2.488
4,Task 3: sum3,2.028,2287.055,1.004,2290.086,3.031
4,Task 4: sum4,2288.474,2286.658,0.965,4576.097,2289.44
4,Task 2: sum2,2.427,6860.789,1.071,6864.287,3.498
5,Task 1: sum1,1.794,2287.089,1.038,2289.921,2.832
5,Task 3: sum3,2.261,2287.126,0.899,2290.287,3.16
5,Task 4: sum4,2288.719,2286.948,0.965,4576.632,2289.684
5,Task 2: sum2,2.449,6861.293,1.125,6864.867,3.574
6,Task 1: sum1,2.114,2286.71,1.245,2290.07,3.359
6,Task 3: sum3,1.955,2286.946,0.782,2289.682,2.737
6,Task 4: sum4,2288.34,2287.562,1.012,4576.915,2289.353
6,Task 2: sum2,2.099,6861.73,1.088,6864.917,3.187
7,Task 1: sum1,1.479,2286.817,0.953,2289.249,2.432
7,Task 3: sum3,2.239,2287.03,0.915,2290.184,3.154
7,Task 4: sum4,2288.57,2287.901,1.385,4577.855,2289.954
7,Task 2: sum2,1.932,6862.587,1.077,6865.595,3.008
8,Task 1: sum1,1.775,2287.203,1.079,2290.058,2.854
8,Task 3: sum3,1.676,2287.406,0.985,2290.067,2.661
8,Task 4: sum4,2288.406,2287.661,0.92,4576.988,2289.326
8,Task 2: sum2,2.518,6862.469,0.975,6865.962,3.493
9,Task 1: sum1,2.137,2287.385,1.156,2290.679,3.294
9,Task 3: sum3,1.63,2287.579,1.014,2290.223,2.644
9,Task 4: sum4,2288.578,2287.291,0.872,4576.741,2289.45
9,Task 2: sum2,1.902,6862.45,1.072,6865.423,2.973
10,Task 1: sum1,1.869,2287.225,1.045,2290.139,2.914
10,Task 3: sum3,2.07,2287.368,0.916,2290.354,2.985
10,Task 4: sum4,2288.811,2287.612,0.941,4577.364,2289.752
10,Task 2: sum2,2.852,6863.264,1.097,6867.213,3.949

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.806,2286.896,1.044,2289.746,2.850
AVERAGE,Task 3: sum3,2.014,2287.117,0.922,2290.053,2.936
AVERAGE,Task 4: sum4,2288.492,2287.228,1.002,4576.722,2289.494
AVERAGE,Task 2: sum2,2.278,6861.667,1.044,6864.989,3.322
