Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 2: sum2,8.657,2191.38,0.558,2200.595,9.215
1,Task 1: sum1,10.347,4371.087,0.549,4381.982,10.895
1,Task 3: sum3,9.037,2188.628,0.56,2198.224,9.597
1,Task 4: sum4,1197.664,2188.708,4.189,3390.562,1201.853
2,Task 2: sum2,0.592,2188.615,0.54,2189.747,1.133
2,Task 1: sum1,0.961,4367.311,0.497,4368.769,1.459
2,Task 3: sum3,0.509,2188.468,0.466,2189.443,0.975
2,Task 4: sum4,1188.993,2189.288,0.414,3378.694,1189.407
3,Task 2: sum2,0.576,2189.396,0.508,2190.48,1.084
3,Task 1: sum1,0.911,4369.421,0.534,4370.866,1.445
3,Task 3: sum3,1.014,2189.245,0.491,2190.75,1.504
3,Task 4: sum4,1190.281,2190.187,0.418,3380.886,1190.699
4,Task 2: sum2,0.518,2191.088,0.477,2192.084,0.996
4,Task 1: sum1,1.035,4371.41,0.453,4372.899,1.488
4,Task 3: sum3,0.946,2190.709,0.488,2192.143,1.433
4,Task 4: sum4,1191.691,2190.977,0.446,3383.114,1192.137
5,Task 2: sum2,0.491,2190.23,0.504,2191.225,0.995
5,Task 1: sum1,0.773,4370.192,0.497,4371.463,1.271
5,Task 3: sum3,0.521,2189.788,0.477,2190.786,0.998
5,Task 4: sum4,1190.362,2191.461,0.425,3382.247,1190.787
6,Task 2: sum2,0.487,2188.306,0.468,2189.262,0.956
6,Task 1: sum1,0.762,4370.948,0.482,4372.193,1.245
6,Task 3: sum3,0.818,2190.486,0.477,2191.781,1.295
6,Task 4: sum4,1191.342,2191.945,0.489,3383.776,1191.831
7,Task 2: sum2,0.507,2191.353,0.464,2192.324,0.971
7,Task 1: sum1,0.714,4372.745,0.458,4373.917,1.172
7,Task 3: sum3,1.015,2191.571,0.452,2193.038,1.467
7,Task 4: sum4,1192.625,2192.831,0.424,3385.881,1193.05
8,Task 2: sum2,0.556,2191.573,0.468,2192.596,1.024
8,Task 1: sum1,0.878,4372.913,0.482,4374.274,1.36
8,Task 3: sum3,0.976,2192.001,0.518,2193.495,1.494
8,Task 4: sum4,1193.029,2192.578,0.407,3386.014,1193.436
9,Task 2: sum2,0.491,2193.677,0.442,2194.611,0.934
9,Task 1: sum1,0.685,4375.845,0.463,4376.992,1.148
9,Task 3: sum3,0.51,2191.731,0.433,2192.674,0.944
9,Task 4: sum4,1192.315,2192.613,0.396,3385.325,1192.711
10,Task 2: sum2,0.514,2189.864,0.469,2190.847,0.983
10,Task 1: sum1,0.764,4369.099,0.467,4370.329,1.23
10,Task 3: sum3,1.068,2188.36,0.496,2189.924,1.564
10,Task 4: sum4,1189.468,2189.087,0.413,3378.968,1189.881
11,Task 2: sum2,0.517,2189.127,0.492,2190.136,1.009
11,Task 1: sum1,0.995,4368.782,0.49,4370.268,1.485
11,Task 3: sum3,0.942,2189.643,0.479,2191.064,1.42
