Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,25.968,2285.987,2.188,2314.143,28.156
1,Task 2: sum2,25.969,2287.693,1.062,2314.724,27.03
1,Task 3: sum3,24.129,2287.09,1.144,2312.363,25.273
1,Task 4: sum4,26.325,2290.808,1.375,2318.509,27.7
2,Task 1: sum1,1.07,2289.175,2.407,2292.651,3.477
2,Task 2: sum2,5.716,2301.321,1.003,2308.04,6.719
2,Task 3: sum3,0.886,2288.119,0.603,2289.609,1.49
2,Task 4: sum4,0.954,2289.448,0.634,2291.036,1.588
3,Task 1: sum1,1.4,2286.598,0.959,2288.957,2.358
3,Task 2: sum2,1.207,2288.073,0.764,2290.043,1.97
3,Task 3: sum3,1.019,2287.563,1.017,2289.599,2.036
3,Task 4: sum4,0.903,2289.049,0.66,2290.612,1.563
4,Task 1: sum1,0.87,2286.352,1.482,2288.704,2.351
4,Task 2: sum2,1.455,2289.492,0.624,2291.572,2.08
4,Task 3: sum3,0.986,2288.788,0.859,2290.632,1.844
4,Task 4: sum4,0.919,2293.004,0.714,2294.637,1.632
5,Task 1: sum1,0.843,2287.425,1.021,2289.289,1.864
5,Task 2: sum2,0.895,2289.487,0.672,2291.054,1.567
5,Task 3: sum3,1.025,2287.281,1.072,2289.378,2.097
5,Task 4: sum4,1.008,2288.558,0.893,2290.46,1.901

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.046,2287.387,1.467,2289.900,2.513
AVERAGE,Task 2: sum2,2.318,2292.093,0.766,2295.177,3.084
AVERAGE,Task 3: sum3,0.979,2287.938,0.888,2289.805,1.867
AVERAGE,Task 4: sum4,0.946,2290.015,0.725,2291.686,1.671
