Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,10.629,2177.363,0.561,2188.553,11.19
1,Task 3: sum3,17.588,2187.978,0.545,2206.112,18.134
1,Task 4: sum4,2204.55,2190.782,0.514,4395.847,2205.065
1,Task 2: sum2,8.892,6566.746,0.509,6576.147,9.401
2,Task 1: sum1,0.854,2179.96,0.465,2181.279,1.319
2,Task 3: sum3,1.051,2190.315,0.477,2191.843,1.528
2,Task 4: sum4,2191.022,2189.754,0.554,4381.331,2191.576
2,Task 2: sum2,0.561,6570.816,0.443,6571.82,1.004
3,Task 1: sum1,0.749,2179.816,0.459,2181.024,1.207
3,Task 3: sum3,0.974,2191.957,0.46,2193.391,1.434
3,Task 4: sum4,2192.615,2190.332,0.439,4383.385,2193.054
3,Task 2: sum2,1.087,6570.534,0.45,6572.071,1.537
4,Task 1: sum1,0.588,2180.942,0.564,2182.094,1.152
4,Task 3: sum3,1.138,2190.775,0.485,2192.399,1.623
4,Task 4: sum4,2191.56,2190.806,0.461,4382.828,2192.021
4,Task 2: sum2,1.259,6572.759,0.503,6574.521,1.762
5,Task 1: sum1,0.789,2183.727,0.464,2184.981,1.254
5,Task 3: sum3,0.752,2194.422,0.48,2195.655,1.232
5,Task 4: sum4,2194.858,2193.384,0.473,4388.715,2195.331
5,Task 2: sum2,0.537,6579.421,0.478,6580.436,1.015
6,Task 1: sum1,0.785,2179.191,0.468,2180.444,1.253
6,Task 3: sum3,1.113,2188.73,0.491,2190.334,1.604
6,Task 4: sum4,2189.489,2190.759,0.488,4380.736,2189.977
6,Task 2: sum2,1.075,6569.561,0.469,6571.105,1.544
7,Task 1: sum1,0.793,2179.76,0.459,2181.012,1.252
7,Task 3: sum3,1.177,2189.345,0.526,2191.048,1.702
7,Task 4: sum4,2190.149,2189.574,0.465,4380.188,2190.614
7,Task 2: sum2,1.504,6568.099,0.47,6570.072,1.974
8,Task 1: sum1,0.933,2179.585,0.488,2181.006,1.421
8,Task 3: sum3,1.152,2192.167,0.502,2193.821,1.654
8,Task 4: sum4,2192.952,2193.848,0.491,4387.29,2193.442
8,Task 2: sum2,1.207,6576.639,0.504,6578.349,1.711
9,Task 1: sum1,0.776,2180.125,0.479,2181.38,1.255
9,Task 3: sum3,1.002,2190.727,0.496,2192.226,1.499
9,Task 4: sum4,2191.388,2191.619,0.508,4383.516,2191.896
9,Task 2: sum2,0.537,6574.063,0.458,6575.059,0.995
10,Task 1: sum1,0.948,2183.094,0.48,2184.522,1.429
10,Task 3: sum3,1.1,2190.442,0.498,2192.04,1.598
10,Task 4: sum4,2191.224,2190.806,0.488,4382.518,2191.712
10,Task 2: sum2,1.234,6571.523,0.519,6573.277,1.753
11,Task 1: sum1,0.797,2177.629,0.433,2178.859,1.23
11,Task 3: sum3,1.249,2188.612,0.463,2190.324,1.713
11,Task 4: sum4,2189.467,2190.666,0.512,4380.644,2189.979
11,Task 2: sum2,0.963,6568.875,0.478,6570.315,1.441
12,Task 1: sum1,0.893,2179.824,0.547,2181.265,1.44
12,Task 3: sum3,0.932,2188.834,0.476,2190.241,1.408
12,Task 4: sum4,2189.463,2189.491,0.465,4379.419,2189.928
12,Task 2: sum2,1.348,6567.415,0.492,6569.255,1.84
13,Task 1: sum1,0.76,2179.8,0.484,2181.044,1.244
13,Task 3: sum3,0.862,2190.325,0.44,2191.627,1.302
13,Task 4: sum4,2190.851,2190.98,0.45,4382.281,2191.301
13,Task 2: sum2,0.587,6571.542,0.493,6572.622,1.08
14,Task 1: sum1,0.756,2179.848,0.509,2181.113,1.265
14,Task 3: sum3,1.012,2191.497,0.487,2192.996,1.499
14,Task 4: sum4,2192.185,2191.599,0.433,4384.217,2192.618
14,Task 2: sum2,0.603,6575.809,0.465,6576.877,1.068
15,Task 1: sum1,0.884,2179.537,0.439,2180.86,1.323
15,Task 3: sum3,1.092,2188.893,0.449,2190.434,1.541
15,Task 4: sum4,2189.65,2188.359,0.493,4378.502,2190.143
15,Task 2: sum2,0.66,6565.781,0.433,6566.874,1.093
16,Task 1: sum1,0.755,2177.829,0.447,2179.031,1.202
16,Task 3: sum3,0.956,2188.509,0.457,2189.921,1.413
16,Task 4: sum4,2189.154,2189.213,0.501,4378.867,2189.655
16,Task 2: sum2,0.515,6566.521,0.433,6567.47,0.948
17,Task 1: sum1,0.812,2178.827,0.457,2180.096,1.27
17,Task 3: sum3,0.724,2192.391,0.448,2193.563,1.172
17,Task 4: sum4,2192.816,2190.277,0.479,4383.571,2193.295
17,Task 2: sum2,0.607,6573.289,0.491,6574.387,1.098
18,Task 1: sum1,0.759,2179.587,0.456,2180.803,1.216
18,Task 3: sum3,0.724,2190.609,0.44,2191.773,1.164
18,Task 4: sum4,2191.03,2190.29,0.453,4381.773,2191.483
18,Task 2: sum2,1.103,6571.323,0.492,6572.918,1.595
19,Task 1: sum1,0.768,2180.92,0.484,2182.172,1.252
19,Task 3: sum3,1.147,2191.849,0.456,2193.451,1.602
19,Task 4: sum4,2192.633,2192.105,0.519,4385.256,2193.151
19,Task 2: sum2,0.516,6575.727,0.488,6576.731,1.004
20,Task 1: sum1,0.901,2182.042,0.5,2183.443,1.401
20,Task 3: sum3,0.963,2198.365,0.474,2199.802,1.436
