Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,26.788,689.705,0.792,717.285,27.58
2,Task 1: sum1,1.43,675.366,0.741,677.538,2.171
3,Task 1: sum1,0.943,679.394,0.671,681.007,1.613
4,Task 1: sum1,0.918,674.289,0.66,675.867,1.578
5,Task 1: sum1,0.941,679.406,0.75,681.096,1.691
6,Task 1: sum1,0.886,670.338,0.657,671.881,1.543
7,Task 1: sum1,0.956,670.339,0.972,672.266,1.928
8,Task 1: sum1,0.943,680.316,0.722,681.981,1.665
9,Task 1: sum1,0.898,669.797,0.906,671.601,1.804
10,Task 1: sum1,0.888,677.676,1.109,679.674,1.998
11,Task 1: sum1,0.975,680.105,0.691,681.771,1.666
12,Task 1: sum1,0.931,683.88,0.667,685.478,1.598
13,Task 1: sum1,0.992,673.509,0.666,675.167,1.658
14,Task 1: sum1,0.939,676.685,0.731,678.354,1.669
15,Task 1: sum1,0.903,675.193,0.923,677.019,1.826
16,Task 1: sum1,0.916,680.26,0.654,681.83,1.57
17,Task 1: sum1,0.902,683.286,0.738,684.926,1.64
18,Task 1: sum1,0.802,674.585,0.636,676.023,1.438
19,Task 1: sum1,0.794,672.516,0.667,673.978,1.461
20,Task 1: sum1,0.8,677.252,0.674,678.726,1.474
21,Task 1: sum1,1.013,680.752,0.646,682.412,1.659
22,Task 1: sum1,0.912,676.123,0.691,677.727,1.604
23,Task 1: sum1,0.825,675.713,0.703,677.241,1.528
24,Task 1: sum1,0.787,678.974,0.623,680.383,1.41
25,Task 1: sum1,0.817,674.192,0.647,675.655,1.463
26,Task 1: sum1,1.039,682.923,0.69,684.652,1.729
27,Task 1: sum1,0.884,673.058,0.616,674.558,1.5
28,Task 1: sum1,0.853,677.726,0.714,679.293,1.567
29,Task 1: sum1,0.881,673.185,0.668,674.733,1.548
30,Task 1: sum1,0.916,681.277,0.662,682.855,1.578
31,Task 1: sum1,0.797,674.974,0.686,676.457,1.483
32,Task 1: sum1,0.944,684.556,0.69,686.19,1.634
33,Task 1: sum1,1.134,679.818,0.647,681.599,1.781
34,Task 1: sum1,0.846,670.99,0.657,672.493,1.503
35,Task 1: sum1,0.903,682.673,1.024,684.601,1.927
36,Task 1: sum1,0.97,671.434,0.913,673.317,1.882
37,Task 1: sum1,0.864,673.801,0.906,675.572,1.771
38,Task 1: sum1,0.902,676.666,0.961,678.529,1.863
39,Task 1: sum1,0.892,683.888,0.644,685.425,1.536
40,Task 1: sum1,1.086,680.842,0.97,682.898,2.056
41,Task 1: sum1,0.993,674.157,0.691,675.841,1.684
42,Task 1: sum1,0.898,679.57,0.65,681.119,1.548
43,Task 1: sum1,0.856,681.195,0.641,682.692,1.497
44,Task 1: sum1,0.92,681.552,0.721,683.193,1.641
45,Task 1: sum1,0.872,678.947,0.923,680.742,1.795
46,Task 1: sum1,0.994,677.59,0.735,679.32,1.729
47,Task 1: sum1,0.863,685.022,0.682,686.567,1.545
48,Task 1: sum1,0.841,676.163,0.683,677.687,1.524
49,Task 1: sum1,0.964,679.286,0.655,680.905,1.619
50,Task 1: sum1,0.896,681.66,0.717,683.273,1.613

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,0.921,677.610,0.737,679.268,1.657
