Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,49.634,2544.829,1.064,2595.527,50.698
1,Task 2: sum2,22.473,2534.201,0.78,2557.455,23.254
1,Task 3: sum3,22.121,2536.904,0.771,2559.796,22.892
1,Task 4: sum4,21.578,2537.188,0.609,2559.375,22.187
2,Task 1: sum1,1.083,2489.881,0.727,2491.69,1.81
2,Task 2: sum2,1.247,2487.983,0.58,2489.81,1.826
2,Task 3: sum3,1.104,2473.392,0.678,2475.173,1.781
2,Task 4: sum4,1.091,2479.884,0.689,2481.664,1.78
3,Task 1: sum1,0.856,2531.73,0.683,2533.269,1.539
3,Task 2: sum2,0.919,2536.031,0.672,2537.622,1.591
3,Task 3: sum3,0.974,2534.548,0.585,2536.107,1.559
3,Task 4: sum4,1.044,2547.702,0.561,2549.308,1.606
4,Task 1: sum1,1.06,2481.715,0.642,2483.418,1.702
4,Task 2: sum2,1.107,2482.38,0.649,2484.136,1.756
4,Task 3: sum3,3.23,2478.998,0.734,2482.963,3.964
4,Task 4: sum4,1.089,2476.067,0.639,2477.796,1.728
5,Task 1: sum1,0.9,2527.191,0.658,2528.749,1.558
5,Task 2: sum2,0.953,2529.21,0.705,2530.868,1.658
5,Task 3: sum3,1.132,2535.443,0.772,2537.347,1.904
5,Task 4: sum4,1.149,2535.43,0.534,2537.113,1.683
6,Task 1: sum1,2.041,2483.534,0.652,2486.226,2.693
6,Task 2: sum2,1.139,2476.404,0.643,2478.185,1.782
6,Task 3: sum3,3.104,2473.658,0.684,2477.447,3.789
6,Task 4: sum4,1.059,2475.19,0.664,2476.914,1.723
7,Task 1: sum1,0.897,2536.995,0.633,2538.525,1.53
7,Task 2: sum2,0.966,2527.787,0.682,2529.435,1.648
7,Task 3: sum3,1.019,2533.021,0.659,2534.699,1.678
7,Task 4: sum4,0.936,2533.558,0.565,2535.059,1.501
8,Task 1: sum1,0.894,2478.788,0.711,2480.393,1.605
8,Task 2: sum2,0.906,2474.58,0.614,2476.1,1.52
8,Task 3: sum3,1.048,2475.024,0.958,2477.03,2.005
8,Task 4: sum4,0.92,2486.125,0.58,2487.626,1.501
9,Task 1: sum1,0.856,2530.749,0.645,2532.251,1.501
9,Task 2: sum2,1.073,2528.937,0.684,2530.694,1.757
9,Task 3: sum3,1.438,2529.123,0.677,2531.238,2.115
9,Task 4: sum4,0.873,2530.532,0.786,2532.191,1.659
10,Task 1: sum1,0.891,2797.02,1.365,2799.276,2.256
10,Task 2: sum2,1.126,2474.449,0.635,2476.21,1.761
10,Task 3: sum3,1.046,2479.47,0.683,2481.199,1.729
10,Task 4: sum4,1.151,2471.968,0.667,2473.786,1.819
11,Task 1: sum1,0.913,2527.685,0.677,2529.275,1.591
11,Task 2: sum2,0.995,2523.078,0.732,2524.805,1.727
11,Task 3: sum3,0.923,2538.256,0.54,2539.718,1.463
11,Task 4: sum4,1.059,2537.395,0.545,2538.999,1.604
12,Task 1: sum1,2.539,2472.358,0.671,2475.568,3.211
12,Task 2: sum2,1.118,2472.933,0.646,2474.697,1.765
12,Task 3: sum3,3.12,2473.857,0.58,2477.557,3.7
12,Task 4: sum4,0.987,2477.118,0.519,2478.624,1.506
13,Task 1: sum1,0.989,2529.283,0.624,2530.896,1.613
13,Task 2: sum2,0.948,2538.977,0.659,2540.584,1.607
13,Task 3: sum3,3.452,2539.05,0.657,2543.159,4.109
13,Task 4: sum4,1.056,2532.827,0.65,2534.533,1.706
14,Task 1: sum1,0.946,2472.543,0.64,2474.13,1.587
14,Task 2: sum2,1.098,2473.447,0.659,2475.204,1.757
14,Task 3: sum3,1.056,2475.621,0.503,2477.18,1.559
14,Task 4: sum4,1.067,2479.088,0.558,2480.712,1.624
15,Task 1: sum1,1.059,2526.435,0.646,2528.14,1.705
15,Task 2: sum2,1.043,2527.393,0.679,2529.115,1.722
15,Task 3: sum3,3.032,2522.681,0.687,2526.4,3.719
15,Task 4: sum4,1.106,2528.56,0.573,2530.239,1.679
16,Task 1: sum1,0.918,2472.224,0.638,2473.781,1.557
16,Task 2: sum2,1.161,2480.058,0.622,2481.841,1.783
16,Task 3: sum3,1.183,2479.379,0.556,2481.118,1.739
16,Task 4: sum4,1.02,2472.015,0.901,2473.936,1.921
17,Task 2: sum2,4.474,2807.86,0.713,2813.047,5.187
17,Task 3: sum3,3.174,2535.598,0.696,2539.468,3.87
17,Task 4: sum4,3.104,2533.49,0.927,2537.521,4.031
18,Task 1: sum1,3.47,2485.833,0.685,2489.987,4.154
18,Task 2: sum2,3.294,2488.628,0.659,2492.582,3.953
18,Task 3: sum3,3.39,2476.202,0.679,2480.271,4.069
18,Task 4: sum4,1.007,2482.564,0.661,2484.232,1.668
19,Task 1: sum1,1.217,2534.922,0.673,2536.811,1.889
19,Task 2: sum2,0.952,2537.723,0.659,2539.334,1.611
19,Task 3: sum3,1.338,2526.916,0.704,2528.958,2.042
19,Task 4: sum4,0.986,2539.057,0.601,2540.644,1.587
20,Task 1: sum1,0.892,2478.02,1.048,2479.959,1.939
20,Task 2: sum2,1.111,2486.481,0.639,2488.231,1.749
