Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 2: sum2,20.975,2286.165,0.766,2307.907,21.741
1,Task 1: sum1,27.08,4572.443,1.751,4601.273,28.831
1,Task 3: sum3,21.25,2287.054,0.813,2309.117,22.063
1,Task 4: sum4,1308.297,2286.899,0.737,3595.933,1309.034
2,Task 2: sum2,1.093,2286.662,0.636,2288.391,1.729
2,Task 1: sum1,1.351,4573.555,0.708,4575.614,2.059
2,Task 3: sum3,0.964,2286.675,1.0,2288.639,1.964
2,Task 4: sum4,1287.675,2286.571,0.711,3574.958,1288.386
3,Task 2: sum2,0.992,2287.906,0.651,2289.548,1.643
3,Task 1: sum1,0.907,4575.977,0.653,4577.538,1.56
3,Task 3: sum3,0.959,2287.004,0.647,2288.61,1.606
3,Task 4: sum4,1288.041,2287.068,0.577,3575.686,1288.619
4,Task 2: sum2,1.004,2287.235,0.681,2288.919,1.684
4,Task 1: sum1,0.906,4575.115,0.738,4576.758,1.644
4,Task 3: sum3,0.98,2287.423,0.672,2289.076,1.653
4,Task 4: sum4,1288.475,2287.902,0.723,3577.101,1289.198
5,Task 2: sum2,0.973,2287.633,0.69,2289.295,1.662
5,Task 1: sum1,1.34,4575.192,0.699,4577.231,2.04
5,Task 3: sum3,0.87,2288.061,0.843,2289.775,1.714
5,Task 4: sum4,1288.997,2288.336,0.524,3577.858,1289.522

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 2: sum2,1.016,2287.359,0.664,2289.038,1.679
AVERAGE,Task 1: sum1,1.126,4574.960,0.700,4576.785,1.826
AVERAGE,Task 3: sum3,0.943,2287.291,0.790,2289.025,1.734
AVERAGE,Task 4: sum4,1288.297,2287.469,0.634,3576.401,1288.931
