Iteration,Task,Request Latency (ms),Task Execution (ms),Response Latency (ms),Total End-to-End (ms),Network Overhead (ms)
1,Task 1: sum1,27.661,2286.439,1.118,2315.217,28.779
1,Task 2: sum2,22.191,2287.454,0.771,2310.416,22.963
1,Task 3: sum3,26.116,2286.925,0.65,2313.69,26.765
1,Task 4: sum4,23.656,2288.009,0.694,2312.359,24.35
2,Task 1: sum1,1.096,2287.65,1.036,2289.782,2.132
2,Task 2: sum2,3.489,2297.43,0.703,2301.622,4.192
2,Task 3: sum3,1.002,2287.058,0.942,2289.003,1.945
2,Task 4: sum4,0.999,2287.795,0.671,2289.465,1.669
3,Task 1: sum1,0.941,2286.375,0.804,2288.121,1.746
3,Task 2: sum2,0.889,2285.677,0.681,2287.247,1.57
3,Task 3: sum3,1.318,2284.628,1.655,2287.601,2.973
3,Task 4: sum4,1.632,2285.554,0.658,2287.845,2.29
4,Task 1: sum1,0.868,2285.404,1.133,2287.405,2.001
4,Task 2: sum2,3.121,2286.152,0.671,2289.944,3.792
4,Task 3: sum3,1.055,2285.383,0.863,2287.301,1.918
4,Task 4: sum4,0.868,2286.269,0.678,2287.815,1.546
5,Task 1: sum1,1.258,2285.928,0.947,2288.133,2.205
5,Task 2: sum2,0.855,2286.471,0.689,2288.015,1.544
5,Task 3: sum3,0.919,2286.252,0.509,2287.68,1.429
5,Task 4: sum4,1.002,2287.115,0.643,2288.76,1.645

---,AVERAGES (excl. iter 1),---,---,---,---,---
AVERAGE,Task 1: sum1,1.041,2286.339,0.980,2288.360,2.021
AVERAGE,Task 2: sum2,2.088,2288.932,0.686,2291.707,2.775
AVERAGE,Task 3: sum3,1.074,2285.830,0.992,2287.896,2.066
AVERAGE,Task 4: sum4,1.125,2286.683,0.663,2288.471,1.788
